,index,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,TotCycles1,TotCycles2,TotCycles3,TotCycles4,TotSuccess1,TotSuccess2,TotSuccess3,TotSuccess4,ClinicNames
10,10,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS    ,CALIFORNIA,2000.0,40.0,32.0,20.0,12.0,27.15,30.35,16.666666666666668,12.5,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER BEVERLY HILLS
11,11,ZOUVES FERTILITY CENTER,DALY CITY,CALIFORNIA,2000.0,119.0,89.0,91.0,36.0,29.0,24.261111111111113,35.25,7.8,ZOUVES FERTILITY CENTER FOSTER CITY
12,12,WEST COAST FERTILITY CENTERS,FOUNTAIN VALLEY    ,CALIFORNIA,2000.0,105.0,42.0,41.0,11.0,39.3,43.583333333333336,3.05,11.11111111111111,WEST COAST FERTILITY CENTERS FOUNTAIN VALLEY    
13,13,"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,CALIFORNIA,2000.0,91.0,79.0,70.0,25.0,26.136363636363637,27.485714285714288,15.85,4.55,"COASTAL FERTILITY MEDICAL CENTER, INC. IRVINE"
14,14,REPRODUCTIVE PARTNERS--SAN DIEGO,LA JOLLA ,CALIFORNIA,2000.0,55.0,51.0,27.0,20.0,39.43333333333334,38.18181818181819,9.1,5.882352941176471,REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO LA JOLLA
15,15,SCRIPPS CLINIC FERTILITY CENTER,LA JOLLA ,CALIFORNIA,2000.0,40.0,20.0,25.0,19.0,14.742857142857144,2.6315789473684212,10.0,0.0,SCRIPPS CLINIC FERTILITY CENTER LA JOLLA 
16,16,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA  LINDA     ,CALIFORNIA,2000.0,60.0,37.0,26.0,13.0,23.65,34.778571428571425,10.4,3.8461538461538463,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF LOMA LINDA
17,17,REPRODUCTIVE PARTNERS--LONG BEACH,LONG BEACH    ,CALIFORNIA,2000.0,110.0,70.0,81.0,41.0,28.2,24.55,10.25,10.8,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER REDONDO BEACH"
18,18,UNIVERSITY OF CALIFORNIA--LOS ANGELES,LOS ANGELES    ,CALIFORNIA,2000.0,43.0,30.0,19.0,19.0,9.1,56.9,2.6315789473684212,5.2631578947368425,UNIVERSITY OF CALIFORNIA--LOS ANGELES LOS ANGELES    
19,19,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES    ,CALIFORNIA,2000.0,35.0,31.0,35.0,28.0,38.56666666666666,10.7,20.0,6.0,UNIVERSITY OF SOUTHERN CALIFORNIA LOS ANGELES    
20,20,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,CALIFORNIA,2000.0,81.0,53.0,42.0,16.0,30.55,31.31666666666667,38.9,20.512820512820515,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
21,21,NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,NORTHRIDGE,CALIFORNIA,2000.0,43.0,23.0,22.0,7.0,15.1,13.65,9.1,0.0,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
22,22,"SUSAN P. WILLMAN, M.D.",ORINDA ,CALIFORNIA,2000.0,34.0,27.0,32.0,13.0,12.5,33.31666666666666,13.35,8.333333333333334,"SUSAN P. WILLMAN, M.D. ORINDA "
23,23,NOVA IN VITRO FERTILIZATION,PALO ALTO    ,CALIFORNIA,2000.0,63.0,48.0,53.0,25.0,27.340909090909093,20.45,11.75,8.0,NOVA IN VITRO FERTILIZATION PALO ALTO    
24,24,HUNTINGTON REPRODUCTIVE CENTER,PASADENA ,CALIFORNIA,2000.0,317.0,195.0,214.0,89.0,24.75,31.95,24.707894736842107,11.933333333333334,HUNTINGTON REPRODUCTIVE CENTER PASADENA 
25,25,REPRODUCTIVE PARTNERS--REDONDO BEACH,REDONDO BEACH,CALIFORNIA,2000.0,69.0,60.0,89.0,23.0,29.021428571428572,32.31666666666667,15.58235294117647,9.5,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER REDONDO BEACH"
26,26,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,2000.0,186.0,111.0,100.0,30.0,26.799999999999997,28.233333333333334,12.9,1.65,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER ROSEVILLE
27,27,INFERTILITY CLINIC,SAN DIEGO,CALIFORNIA,2000.0,92.0,31.0,34.0,10.0,18.366666666666667,17.3,5.0,0.0,NAVAL MEDICAL CENTER SAN DIEGO INFERTILITY CLINIC SAN DIEGO
28,28,SAN DIEGO FERTILITY CENTER,SAN DIEGO    ,CALIFORNIA,2000.0,73.0,63.0,52.0,19.0,24.733333333333334,27.685714285714287,17.45,2.6315789473684212,REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO LA JOLLA
29,29,ASTARTE FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,2000.0,50.0,31.0,33.0,24.0,66.65,16.65,10.0,58.7,ASTARTE FERTILITY CENTER SAN FRANCISCO
30,30,SAN FRANCISCO FERTILITY CENTERS,SAN FRANCISCO    ,CALIFORNIA,2000.0,302.0,216.0,229.0,112.0,33.3,25.85,21.0,9.192857142857143,SAN FRANCISCO FERTILITY CENTERS SAN FRANCISCO    
31,31,UNIVERSITY OF CALIFORNIA--SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,2000.0,107.0,63.0,43.0,16.0,20.85,13.213157894736842,12.905555555555555,0.0,UNIVERSITY OF CALIFORNIA--SAN FRANCISCO SAN FRANCISCO
32,32,FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,SAN JOSE,CALIFORNIA,2000.0,182.0,125.0,114.0,31.0,12.15,10.5,6.5,1.8,FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA SAN JOSE
33,33,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON    ,CALIFORNIA,2000.0,226.0,165.0,119.0,37.0,22.950000000000003,28.299999999999997,13.7,5.9,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA SAN RAMON
34,34,CENTER FOR ASSISTED REPRODUCTIVE MEDICINE/CFP,SANTA MONICA ,CALIFORNIA,2000.0,101.0,106.0,101.0,81.0,36.15,22.65,10.35,12.683333333333334,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
35,35,"NORTH BAY FERTILITY CENTER, INC.",SANTA ROSA,CALIFORNIA,2000.0,64.0,36.0,46.0,11.0,33.95,22.9,12.85,0.0,"NORTH BAY FERTILITY CENTER, INC. SANTA ROSA"
36,36,STANFORD UNIVERSITY IVF/ART PROGRAM,STANFORD,CALIFORNIA,2000.0,242.0,199.0,231.0,108.0,20.0,17.5,7.25,5.15,STANFORD UNIVERSITY IVF/ART PROGRAM STANFORD
37,37,THE CENTER FOR FERTILITY AND GYNECOLOGY,TARZANA     ,CALIFORNIA,2000.0,120.0,67.0,46.0,34.0,31.211111111111112,25.492857142857144,39.3,57.6,THE CENTER FOR FERTILITY AND GYNECOLOGY TARZANA
38,38,THE FERTILITY INSTITUTES,TARZANA ,CALIFORNIA,2000.0,44.0,23.0,16.0,4.0,29.25,15.9,15.625,12.5,THE FERTILITY INSTITUTES TARZANA 
39,39,FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA,THOUSAND OAKS    ,CALIFORNIA,2000.0,144.0,93.0,97.0,45.0,22.1,25.384615384615387,16.583333333333336,1.25,FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA THOUSAND OAKS
40,40,PACIFIC REPRODUCTIVE CENTER,TORRANCE    ,CALIFORNIA,2000.0,154.0,66.0,63.0,28.0,27.814705882352943,29.45,6.65,0.0,PACIFIC REPRODUCTIVE CENTER TORRANCE
41,41,ADVANCED REPRODUCTIVE MEDICINE,AURORA ,COLORADO,2000.0,78.0,43.0,28.0,4.0,23.1,19.33235294117647,16.374269005847953,0.0,ADVANCED REPRODUCTIVE MEDICINE DENVER
42,42,REPRODUCTIVE MEDICINE AND FERTILITY CENTER,COLORADO SPRINGS,COLORADO,2000.0,76.0,12.0,31.0,3.0,35.15,18.181818181818183,8.6,0.0,REPRODUCTIVE FERTILITY CENTER IRVINE
43,43,COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,2000.0,119.0,64.0,31.0,10.0,38.2,24.571428571428573,19.65,7.142857142857143,COLORADO REPRODUCTIVE ENDOCRINOLOGY DENVER
44,44,THE COLORADO CENTER FOR REPRODUCTIVE MEDICINE,ENGLEWOOD,COLORADO,2000.0,301.0,162.0,129.0,57.0,51.2,36.65,36.25,33.03333333333333,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
45,45,CONCEPTIONS REPRODUCTIVE ASSOCIATES,LITTLETON,COLORADO,2000.0,111.0,58.0,60.0,14.0,34.0,12.75,30.71666666666667,14.285714285714286,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO LITTLETON
46,46,THE CENTER FOR ADVANCED REPRODUCTIVE SERVICES AT,FARMINGTON,CONNECTICUT,2000.0,342.0,182.0,163.0,62.0,29.65,23.95,42.95,6.65,CENTER FOR ADVANCED REPRODUCTIVE SERVICES FARMINGTON
47,47,YALE UNIVERSITY SCHOOL OF MEDICINE,NEW HAVEN,CONNECTICUT,2000.0,148.0,70.0,69.0,22.0,12.6,25.4,2.65,5.0,YALE UNIVERSITY SCHOOL OF MEDICINE NEW HAVEN
48,48,NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,2000.0,199.0,138.0,141.0,62.0,25.75,19.0,14.8,3.75,NEW ENGLAND FERTILITY INSTITUTE STAMFORD
49,49,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, P.A.",NEWARK,DELAWARE,2000.0,119.0,44.0,52.0,6.0,24.2,57.3,5.0,0.0,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA NEWARK"
50,50,REPRODUCTIVE ASSOCIATES OF DELAWARE,NEWARK,DELAWARE,2000.0,43.0,13.0,7.0,1.0,36.72857142857143,23.076923076923077,16.666666666666668,0.0,REPRODUCTIVE ASSOCIATES OF DELAWARE NEWARK
51,51,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",WASHINGTON,DISTRICT OF COLUMBIA,2000.0,204.0,87.0,82.0,27.0,28.849999999999998,27.683333333333337,17.05,33.0,"THE A.R.T. INSTITUTE OF WASHINGTON, INC. BETHESDA"
52,52,COLUMBIA HOSPITAL FOR WOMEN ART PROGRAM,WASHINGTON,DISTRICT OF COLUMBIA,2000.0,107.0,78.0,86.0,47.0,21.833333333333336,18.09285714285714,17.916666666666668,8.7,COLUMBIA HOSPITAL FOR WOMEN ART PROGRAM WASHINGTON
53,53,THE GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DISTRICT OF COLUMBIA,2000.0,82.0,53.0,59.0,21.0,30.285714285714285,56.75,7.75,4.75,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES WASHINGTON
54,54,PALM BEACH FERTILITY CENTER,BOCA RATON,FLORIDA,2000.0,51.0,23.0,19.0,6.0,34.55,21.75,2.7777777777777777,8.333333333333334,PALM BEACH FERTILITY CENTER BOCA RATON
55,55,"EDWARD ZBELLA, M.D., P.A.",CLEARWATER,FLORIDA,2000.0,98.0,33.0,33.0,14.0,5.25,36.3,3.15,3.5714285714285716,"EDWARD ZBELLA, M.D., P.A. CLEARWATER"
56,56,F.I.R.S.T.,COOPER CITY,FLORIDA,2000.0,36.0,13.0,21.0,8.0,4.7,16.666666666666668,2.6315789473684212,0.0,F.I.R.S.T. COOPER CITY
57,57,UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER,GAINESVILLE    ,FLORIDA,2000.0,41.0,18.0,23.0,8.0,18.4,17.647058823529413,36.9,0.0,UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER GAINESVILLE    
58,58,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2000.0,321.0,116.0,79.0,11.0,34.8,25.85,20.714285714285715,9.090909090909092,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE JACKSONVILLE
59,59,NORTH FLORIDA GYNECOLOGIC SPECIALISTS,JACKSONVILLE,FLORIDA,2000.0,45.0,16.0,8.0,0.0,41.66666666666667,42.85714285714286,12.5,0.0,NORTH FLORIDA GYNECOLOGIC SPECIALISTS JACKSONVILLE
60,60,IVF FLORIDA ,MARGATE,FLORIDA,2000.0,263.0,132.0,109.0,49.0,32.75,23.583333333333336,27.366666666666667,5.95,IVF FLORIDA REPRODUCTIVE ASSOCIATES MARGATE
61,61,"FERTILITY & IVF CENTER OF MIAMI, INC.",MIAMI,FLORIDA,2000.0,117.0,52.0,42.0,11.0,15.65,19.25,7.3,70.0,"FERTILITY & IVF CENTER OF MIAMI, INC. MIAMI"
62,62,SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,MIAMI,FLORIDA,2000.0,141.0,82.0,68.0,22.0,25.04285714285714,8.75,26.666666666666668,9.1,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE SOUTH MIAMI
63,63,"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",ORLANDO,FLORIDA,2000.0,192.0,86.0,78.0,25.0,25.123529411764707,29.916666666666668,19.433333333333334,10.4,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
64,64,REPRODUCTIVE MEDICINE AND FERTILITY CENTER,ORLANDO,FLORIDA,2000.0,51.0,28.0,14.0,4.0,45.278571428571425,48.1,17.857142857142858,0.0,REPRODUCTIVE FERTILITY CENTER IRVINE
65,65,"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, P.A.",PLANTATION,FLORIDA,2000.0,37.0,14.0,15.0,3.0,18.55,3.5714285714285716,14.285714285714286,0.0,"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, P.A. PLANTATION"
66,66,FERTILITY CENTER OF SARASOTA,SARASOTA ,FLORIDA,2000.0,38.0,19.0,17.0,5.0,67.55,15.789473684210526,11.764705882352942,0.0,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA SARASOTA
67,67,ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY HOSPITAL,TAMPA ,FLORIDA,2000.0,118.0,61.0,55.0,22.0,14.2,9.85,10.0,2.25,ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY HOSPITAL TAMPA 
68,68,EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,ATLANTA ,GEORGIA,2000.0,62.0,40.0,21.0,9.0,30.286363636363635,36.016666666666666,65.0,0.0,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
69,69,GEORGIA REPRODUCTIVE SPECIALISTS,ATLANTA ,GEORGIA,2000.0,70.0,18.0,13.0,0.0,19.95,20.0,7.6923076923076925,0.0,GEORGIA REPRODUCTIVE SPECIALISTS ATLANTA 
70,70,REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA ,GEORGIA,2000.0,485.0,327.0,231.0,89.0,23.0,18.0,18.0,4.15,REPRODUCTIVE BIOLOGY ASSOCIATES ATLANTA
71,71,AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,AUGUSTA ,GEORGIA,2000.0,51.0,23.0,13.0,2.0,6.0,6.8,0.0,0.0,REPRODUCTIVE BIOLOGY ASSOCIATES ATLANTA
72,72,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,WOODSTOCK,GEORGIA,2000.0,139.0,63.0,35.0,4.0,35.85,17.045454545454547,13.483333333333334,12.5,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
73,73,PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,2000.0,96.0,99.0,88.0,67.0,37.278571428571425,37.35,13.583333333333334,6.35,PACIFIC IN VITRO FERTILIZATION INSTITUTE HONOLULU
74,74,IDAHO CENTER FOR REPRODUCTIVE MEDICINE,BOISE,IDAHO,2000.0,104.0,38.0,23.0,4.0,30.0,32.75,28.289473684210527,12.5,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
75,75,RUSH--COPLEY CENTER FOR REPRODUCTIVE HEALTH,AURORA ,ILLINOIS,2000.0,72.0,24.0,16.0,9.0,8.45,2.4,3.125,0.0,RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH AURORA
76,76,IVF LINCOLN PARK,CHICAGO,ILLINOIS,2000.0,416.0,167.0,128.0,94.0,20.049999999999997,12.883333333333335,19.235714285714288,5.45,IVF LINCOLN PARK CHICAGO
77,77,NORTHWESTERN UNIVERSITY,CHICAGO,ILLINOIS,2000.0,234.0,125.0,90.0,44.0,22.599999999999998,20.192857142857143,23.136363636363637,16.4,NORTHWESTERN UNIVERSITY CHICAGO
78,78,RUSH CENTER FOR ADVANCED REPRODUCTIVE CARE,CHICAGO,ILLINOIS,2000.0,104.0,58.0,53.0,30.0,23.45,24.866666666666667,3.9,0.0,CENTER FOR REPRODUCTIVE CARE CHICAGO
79,79,UNIVERSITY OF CHICAGO HOSPITALS,CHICAGO,ILLINOIS,2000.0,140.0,54.0,46.0,10.0,16.15,10.005555555555556,4.75,0.0,UNIVERSITY OF CHICAGO HOSPITALS CHICAGO
80,80,UNIVERSITY OF ILLINOIS AT CHICAGO IVF PROGRAM,CHICAGO,ILLINOIS,2000.0,54.0,20.0,22.0,3.0,20.25,5.555555555555555,9.5,0.0,UNIVERSITY OF ILLINOIS AT CHICAGO IVF PROGRAM CHICAGO
81,81,MIDWEST FERTILITY CENTER,DOWNERS GROVE,ILLINOIS,2000.0,138.0,45.0,20.0,16.0,13.192857142857143,8.55,2.6315789473684212,0.0,MIDWEST FERTILITY CENTER DOWNERS GROVE
82,82,ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,ILLINOIS,2000.0,105.0,24.0,16.0,6.0,20.0,8.7,15.625,8.333333333333334,ADVANCED FERTILITY CENTER OF CHICAGO GURNEE
83,83,HIGHLAND PARK IVF CENTER,HIGHLAND PARK,ILLINOIS,2000.0,343.0,223.0,190.0,83.0,23.39090909090909,26.386363636363637,6.4,4.9,FERTILITY CENTERS OF ILLINOIS-HIGHLAND PARK IVF CENTER HIGHLAND PARK
84,84,HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,2000.0,41.0,21.0,16.0,2.0,7.5,7.894736842105263,3.8461538461538463,50.0,HINSDALE CENTER FOR REPRODUCTION HINSDALE
85,85,CENTER FOR HUMAN REPRODUCTION--ILLINOIS,HOFFMAN ESTATES,ILLINOIS,2000.0,828.0,313.0,172.0,87.0,26.85,19.65,18.45,7.195454545454545,CENTER FOR HUMAN REPRODUCTION--ILLINOIS HOFFMAN ESTATES
86,86,OAK BROOK FERTILITY CENTER,OAKBROOK,ILLINOIS,2000.0,67.0,29.0,23.0,13.0,22.992857142857144,15.4,14.3,63.63636363636364,OAK BROOK FERTILITY CENTER OAKBROOK
87,87,"REENA JABAMONI, M.D., S.C.",OAKBROOK,ILLINOIS,2000.0,63.0,30.0,7.0,4.0,12.05,11.55,0.0,0.0,"REENA JABAMONI, M.D., S.C. OAKBROOK"
88,88,"ADVANCED REPRODUCTIVE HEALTH CENTERS, LTD. (ARHC)",ORLAND PARK,ILLINOIS,2000.0,97.0,22.0,11.0,5.0,27.535714285714285,7.894736842105263,4.545454545454546,0.0,"ADVANCED REPRODUCTIVE HEALTH CENTERS, LTD. (ARHC) ORLAND PARK"
89,89,LUTHERAN GENERAL HOSPITAL IVF PROGRAM,PARK RIDGE,ILLINOIS,2000.0,209.0,86.0,55.0,30.0,27.549999999999997,14.2,25.31666666666667,3.7,LUTHERAN GENERAL HOSPITAL IVF PROGRAM PARK RIDGE
90,90,"ADVANCED REPRODUCTIVE CENTER, LTD.",ROCKFORD,ILLINOIS,2000.0,47.0,23.0,18.0,9.0,12.2,10.85,2.7777777777777777,5.555555555555555,ADVANCED REPRODUCTIVE CENTER ROCKFORD
91,91,REPRODUCTIVE HEALTH AND FERTILITY CENTER,ROCKFORD,ILLINOIS,2000.0,101.0,30.0,21.0,4.0,28.15,10.7,15.0,0.0,REPRODUCTIVE FERTILITY CENTER IRVINE
92,92,"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",SPRINGFIELD,ILLINOIS,2000.0,42.0,33.0,22.0,2.0,20.8,1.85,2.25,0.0,"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C. SPRINGFIELD"
93,93,"SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE, DEPARTMENT OF OB/GYN",SPRINGFIELD,ILLINOIS,2000.0,83.0,28.0,15.0,4.0,4.5,3.7,3.3333333333333335,0.0,"SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE, DEPARTMENT OF OB/GYN SPRINGFIELD"
94,94,ASSOCIATED FERTILITY & GYNECOLOGY,FORT WAYNE,INDIANA,2000.0,69.0,16.0,12.0,0.0,24.133333333333333,23.076923076923077,8.333333333333334,0.0,ASSOCIATED FERTILITY & GYNECOLOGY FORT WAYNE
95,95,ADVANCED FERTILITY GROUP,INDIANAPOLIS,INDIANA,2000.0,144.0,59.0,49.0,35.0,21.075,10.2,6.4,29.55,ADVANCED FERTILITY GROUP INDIANAPOLIS
96,96,"FAMILY BEGINNINGS, P.C.",INDIANAPOLIS,INDIANA,2000.0,47.0,6.0,9.0,4.0,21.8,16.666666666666668,12.5,0.0,"FAMILY BEGINNINGS, PC INDIANAPOLIS"
97,97,MIDWEST REPRODUCTIVE MEDICINE,INDIANAPOLIS,INDIANA,2000.0,602.0,215.0,160.0,69.0,22.5,17.0,15.45,13.592857142857143,MIDWEST REPRODUCTIVE MEDICINE INDIANAPOLIS
98,98,"REPRODUCTIVE SURGERY & MEDICINE, P.C.",INDIANAPOLIS,INDIANA,2000.0,54.0,17.0,16.0,0.0,17.3,51.66666666666667,17.857142857142858,0.0,"REPRODUCTIVE SURGERY & MEDICINE, P.C. INDIANAPOLIS"
99,99,MEMORIAL HOSPITAL CENTER FOR ASSISTED REPRODUCTION,SOUTH BEND,INDIANA,2000.0,34.0,13.0,6.0,1.0,16.2,3.8461538461538463,16.666666666666668,0.0,CENTER FOR ASSISTED REPRODUCTION BEDFORD
100,100,REPRODUCTIVE CARE OF INDIANA,ZIONSVILLE,INDIANA,2000.0,76.0,24.0,14.0,3.0,29.145454545454548,7.5,7.6923076923076925,0.0,REPRODUCTIVE CARE OF INDIANA ZIONSVILLE
101,101,"MCFARLAND CLINIC, P.C., ASSISTED REPRODUCTION",AMES,IOWA,2000.0,83.0,35.0,17.0,7.0,17.1,11.3,11.764705882352942,14.285714285714286,"MCFARLAND CLINIC, P.C., ASSISTED REPRODUCTION AMES"
102,102,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,2000.0,206.0,87.0,52.0,28.0,28.150000000000002,28.96666666666667,23.088461538461537,3.85,UNIVERSITY OF IOWA HOSPITALS AND CLINICS IOWA CITY
103,103,"MID-IOWA FERTILITY, P.C.",WEST DES MOINES,IOWA,2000.0,113.0,33.0,19.0,8.0,23.79285714285714,14.3,13.88888888888889,6.25,"MID-IOWA FERTILITY, P.C. WEST DES MOINES"
104,104,UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KANSAS,2000.0,58.0,28.0,19.0,9.0,13.9,8.95,8.333333333333334,0.0,UNIVERSITY OF KANSAS MEDICAL CENTER KANSAS CITY
105,105,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,2000.0,186.0,78.0,53.0,15.0,24.45,30.036363636363635,11.75,7.6923076923076925,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY OVERLAND PARK
106,106,REPRODUCTIVE MEDICINE & INFERTILITY,SHAWNEE MISSION,KANSAS,2000.0,72.0,24.0,21.0,5.0,16.9,6.8,2.5,12.5,REPRODUCTIVE MEDICINE & INFERTILITY SHAWNEE MISSION
107,107,THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA ,KANSAS,2000.0,108.0,32.0,29.0,19.0,27.1,30.285714285714285,25.635714285714286,3.8461538461538463,CENTER FOR REPRODUCTIVE MEDICINE MOBILE
108,108,FERTILITY AND ENDOCRINE ASSOCIATES,LEXINGTON,KENTUCKY,2000.0,56.0,23.0,6.0,2.0,27.06666666666667,11.35,0.0,25.0,FERTILITY AND ENDOCRINE ASSOCIATES LEXINGTON
109,109,UNIVERSITY OF KENTUCKY,LEXINGTON,KENTUCKY,2000.0,79.0,11.0,7.0,2.0,11.4,10.0,0.0,0.0,UNIVERSITY OF KENTUCKY LEXINGTON
