,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
90,ADVANCED REPRODUCTIVE MEDICINE,DENVER,COLORADO,2017,56,20,11,3,57.1%,35.0%,5 / 11,0 / 3,8.9%,7.9%,5.8%,0 / 17,5 / 9,10 / 19,10%,17%,27%,4%,2%,28%,27%,41.7%,47.1%,57.6%,3 / 14
91,COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,2017,24,15,8,6,16.7%,3 / 15,2 / 8,0 / 6,7.1%,11.4%,10.7%,3 / 13,0 / 1,0 / 4,10%,20%,44%,8%,5%,14%,6%,6.1%,1 / 13,1 / 7,1 / 6
92,DENVER FERTILITY-ALBRECHT WOMEN'S CARE,ENGLEWOOD,COLORADO,2017,29,18,16,6,48.3%,6 / 18,2 / 16,0 / 6,8.6%,8.3%,12.9%,2 / 16,0 / 1,4 / 16,11%,18%,39%,11%,4%,22%,12%,62.1%,4 / 17,4 / 12,4 / 5
93,ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,FORT COLLINS,COLORADO,2017,24,16,10,1,66.7%,9 / 16,4 / 10,0 / 1,1.8%,3.7%,0 / 10,0 / 5,,1 / 2,16%,16%,27%,9%,2%,35%,1%,0.0%,0.0%,0 / 10,0 / 5
94,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO,LITTLETON,COLORADO,2017,248,138,111,36,57.3%,40.6%,32.4%,27.8%,3.2%,5.7%,10.9%,12.1%,2 / 6,69.1%,11%,21%,36%,8%,3%,25%,9%,93.6%,90.6%,96.7%,82.6%
95,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,LONE TREE,COLORADO,2017,509,377,448,281,56.2%,45.6%,30.6%,17.1%,2.5%,2.1%,3.1%,3.5%,9 / 12,61.1%,4%,14%,46%,8%,10%,23%,12%,67.0%,78.5%,84.5%,85.9%
96,ROCKY MOUNTAIN FERTILITY CENTER,PARKER,COLORADO,2017,46,21,10,2,56.5%,47.6%,1 / 10,2 / 2,4.3%,7.9%,11.5%,0 / 8,2 / 2,3 / 4,17%,5%,55%,3%,3%,22%,1%,19.0%,19.2%,4 / 14,1 / 5
97,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,FARMINGTON,CONNECTICUT,2017,452,202,196,110,55.1%,46.0%,24.0%,10.9%,5.4%,9.8%,9.9%,18.4%,52.5%,8 / 12,12%,21%,12%,11%,7%,29%,19%,13.5%,17.5%,19.9%,20.3%
98,"GREENWICH FERTILITY AND IVF CENTER, PC",GREENWICH,CONNECTICUT,2017,119,89,74,47,46.2%,47.2%,16.2%,10.6%,6.8%,9.3%,12.0%,16.8%,50.0%,10 / 17,5%,6%,37%,3%,2%,11%,13%,50.8%,67.1%,74.6%,65.4%
99,YALE FERTILITY CENTER,NEW HAVEN,CONNECTICUT,2017,166,92,108,61,49.4%,35.9%,34.3%,11.5%,6.2%,14.9%,16.8%,16.4%,,7 / 18,16%,18%,32%,6%,9%,22%,16%,12.3%,6.7%,25.6%,22.6%
100,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,NORWALK,CONNECTICUT,2017,251,161,235,96,48.2%,38.5%,18.7%,16.7%,8.8%,8.1%,12.6%,17.0%,9 / 13,57.2%,11%,14%,39%,7%,10%,18%,67%,39.1%,59.8%,64.4%,66.7%
101,NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,2017,47,29,55,15,44.7%,37.9%,9.1%,2 / 15,2.9%,6.5%,17.9%,7.8%,3 / 5,51.2%,1%,0%,5%,0%,1%,1%,17%,32.6%,53.8%,48.3%,44.4%
102,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,TRUMBULL,CONNECTICUT,2017,49,35,36,16,57.1%,17.1%,16.7%,2 / 16,0.0%,8.7%,20.7%,14.3%,,7 / 15,5%,6%,32%,0%,1%,18%,7%,15.0%,13.0%,11.1%,4 / 15
103,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA",NEWARK,DELAWARE,2017,68,35,35,10,33.8%,28.6%,2.9%,0 / 10,5.0%,16.4%,15.0%,4.0%,0 / 1,3 / 9,40%,<1%,7%,25%,2%,6%,25%,68.8%,75.0%,14 / 18,8 / 11
104,REPRODUCTIVE ASSOCIATES OF DELAWARE,NEWARK,DELAWARE,2017,143,34,63,20,62.2%,58.8%,22.2%,10.0%,8.6%,11.0%,11.5%,10.0%,2 / 3,47.8%,35%,19%,34%,39%,54%,37%,15%,39.5%,68.7%,76.3%,13 / 18
105,COLUMBIA FERTILITY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2017,103,116,122,70,31.1%,19.0%,13.1%,7.1%,11.7%,10.3%,13.3%,16.3%,1 / 2,37.7%,6%,9%,17%,3%,4%,17%,62%,41.2%,33.3%,38.1%,27.3%
106,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2017,54,73,65,34,33.3%,26.0%,16.9%,2.9%,8.3%,9.0%,12.0%,13.6%,0 / 9,4 / 9,6%,10%,31%,2%,<1%,17%,21%,9.3%,26.2%,19.4%,9.1%
107,BOCAFERTILITY,BOCA RATON,FLORIDA,2017,29,19,20,6,41.4%,7 / 19,25.0%,1 / 6,4.6%,2.4%,0.0%,8.3%,,41.4%,12%,48%,61%,3%,5%,31%,7%,12.0%,4.8%,8.0%,3 / 11
108,PALM BEACH FERTILITY CENTER,BOCA RATON,FLORIDA,2017,35,24,12,8,40.0%,25.0%,2 / 12,0 / 8,3.4%,24.1%,5.7%,13.0%,0 / 1,40.0%,18%,15%,49%,6%,13%,44%,14%,35.0%,1 / 14,4 / 15,5 / 14
109,POLCZ FERTILITY CENTER,BOYNTON BEACH,FLORIDA,2017,7,3,4,0,4 / 7,1 / 3,2 / 4,,0 / 6,0 / 9,0 / 5,0 / 1,,,32%,18%,27%,0%,0%,45%,0%,0 / 6,0 / 9,0 / 4,0 / 1
110,FLORIDA FERTILITY INSTITUTE,CLEARWATER,FLORIDA,2017,80,30,27,5,42.5%,23.3%,25.9%,0 / 5,11.1%,7.0%,7.9%,0 / 18,4 / 5,3 / 8,18%,25%,8%,10%,6%,44%,44%,20.8%,15.4%,3 / 16,2 / 14
111,CONCEPTIONS FLORIDA: CENTER FOR FERTILITY AND GENETICS,CORAL GABLES,FLORIDA,2017,59,34,52,18,39.0%,26.5%,25.0%,3 / 18,5.6%,18.1%,14.6%,16.7%,4 / 13,63.6%,2%,11%,51%,5%,3%,10%,34%,18.7%,23.2%,42.5%,8.0%
112,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",FORT MYERS,FLORIDA,2017,20,10,16,15,55.0%,4 / 10,4 / 16,1 / 15,0.0%,1 / 6,0 / 8,0 / 14,,,21%,16%,32%,12%,11%,19%,0%,1 / 16,0 / 5,0 / 5,0 / 7
113,"SPECIALISTS IN REPRODUCTIVE MEDICINE AND SURGERY, PA",FORT MYERS,FLORIDA,2017,43,20,9,4,55.8%,30.0%,2 / 9,0 / 4,11.1%,7.7%,14.8%,3 / 13,,3 / 14,11%,13%,60%,14%,0%,12%,14%,12.5%,22.7%,9.1%,1 / 10
114,UF HEALTH REPRODUCTIVE MEDICINE AT SPRINGHILL,GAINESVILLE,FLORIDA,2017,23,16,9,2,52.2%,6 / 16,3 / 9,1 / 2,5.1%,0 / 12,1 / 10,0 / 2,2 / 5,2 / 4,22%,34%,21%,13%,2%,38%,25%,5.0%,1 / 10,1 / 7,0 / 2
115,ASSISTED FERTILITY PROGRAM,JACKSONVILLE,FLORIDA,2017,26,8,12,5,46.2%,3 / 8,3 / 12,1 / 5,1.9%,0.0%,2 / 18,0 / 8,,5 / 14,31%,16%,23%,4%,6%,20%,2%,16.1%,14.3%,3 / 14,0 / 6
116,BROWN FERTILITY,JACKSONVILLE,FLORIDA,2017,145,69,47,16,51.0%,50.7%,34.0%,2 / 16,0.9%,2.8%,2.5%,0.0%,,40.7%,16%,23%,41%,22%,4%,24%,2%,3.5%,4.9%,6.0%,5.5%
117,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2017,201,84,48,35,63.7%,39.3%,27.1%,5.7%,8.4%,15.1%,10.8%,22.5%,40.0%,37.8%,14%,15%,22%,15%,3%,39%,6%,38.8%,41.5%,53.4%,20.5%
118,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2017,83,43,24,17,30.1%,25.6%,12.5%,2 / 17,5.6%,5.5%,7.1%,9.1%,,19.0%,4%,9%,27%,35%,2%,10%,4%,22.2%,21.7%,25.9%,5 / 12
119,IVF FLORIDA REPRODUCTIVE ASSOCIATES,MARGATE,FLORIDA,2017,301,163,224,89,47.2%,39.3%,18.8%,14.6%,5.3%,6.5%,12.3%,11.9%,42.3%,31.0%,13%,13%,33%,6%,5%,32%,36%,13.5%,20.1%,24.1%,12.4%
120,VIERA FERTILITY CENTER,MELBOURNE,FLORIDA,2017,29,11,9,2,24.1%,1 / 11,1 / 9,1 / 2,2.0%,3.2%,10.0%,0 / 11,2 / 3,0 / 8,26%,31%,31%,6%,11%,31%,50%,38.2%,4 / 19,2 / 9,0 / 9
121,"FERTILITY & IVF CENTER OF MIAMI, INC.",MIAMI,FLORIDA,2017,100,70,71,26,42.0%,42.9%,23.9%,23.1%,4.5%,6.4%,7.9%,6.9%,1 / 3,60.7%,12%,14%,35%,7%,9%,28%,77%,69.6%,71.9%,53.6%,66.7%
122,UNIVERSITY OF MIAMI INFERTILITY CENTER,MIAMI,FLORIDA,2017,57,43,39,16,59.6%,30.2%,25.6%,4 / 16,6.8%,7.3%,9.4%,1 / 11,1 / 4,5 / 7,26%,1%,25%,<1%,2%,37%,8%,57.1%,36.7%,14.3%,1 / 8
123,"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",PENSACOLA,FLORIDA,2017,103,41,24,11,49.5%,41.5%,20.8%,0 / 11,7.3%,6.5%,6.3%,1 / 12,8 / 14,1 / 3,12%,15%,23%,14%,0%,36%,2%,7.3%,22.9%,9.1%,0 / 6
124,FERTILITY & GENETICS,PLANTATION,FLORIDA,2017,44,23,38,12,36.4%,47.8%,21.1%,1 / 12,3.0%,7.1%,4.0%,15.0%,4 / 7,5 / 9,17%,15%,29%,8%,23%,57%,29%,37.9%,65.4%,54.5%,0 / 7
125,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,SARASOTA,FLORIDA,2017,38,25,28,10,57.9%,40.0%,14.3%,1 / 10,5.5%,5.3%,21.7%,4 / 15,,2 / 6,12%,5%,55%,7%,2%,27%,9%,97.2%,18 / 18,7 / 8,2 / 2
126,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,SOUTH MIAMI,FLORIDA,2017,295,157,181,111,54.2%,46.5%,28.2%,8.1%,8.0%,12.5%,11.8%,7.5%,63.2%,40.0%,10%,16%,33%,11%,2%,35%,40%,24.7%,31.8%,41.2%,37.0%
127,THE REPRODUCTIVE MEDICINE GROUP,TAMPA,FLORIDA,2017,209,97,76,43,58.9%,39.2%,25.0%,7.0%,5.0%,6.7%,10.5%,10.2%,,49.1%,16%,12%,10%,7%,1%,34%,18%,62.4%,73.8%,78.6%,74.2%
128,UNIVERSITY OF SOUTH FLORIDA IVF,TAMPA,FLORIDA,2017,120,59,39,32,56.7%,47.5%,23.1%,3.1%,6.8%,7.3%,11.6%,4.7%,7 / 12,45.0%,16%,9%,33%,6%,8%,40%,9%,15.2%,22.2%,30.8%,12.5%
129,F.I.R.S.T.,WESTON,FLORIDA,2017,10,5,3,1,2 / 10,1 / 5,0 / 3,0 / 1,0.0%,0 / 7,0 / 7,0 / 6,0 / 1,2 / 6,20%,29%,47%,9%,2%,31%,29%,4.2%,0 / 6,0 / 4,0 / 3
130,"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",WINTER PARK,FLORIDA,2017,8,7,5,2,2 / 8,1 / 7,1 / 5,0 / 2,7.1%,2 / 18,3 / 15,1 / 5,1 / 1,3 / 7,17%,12%,39%,8%,0%,28%,3%,3 / 14,1 / 7,2 / 5,0 / 2
131,"CENTER FOR REPRODUCTIVE MEDICINE, PA",WINTER PARK,FLORIDA,2017,193,136,141,82,50.3%,33.1%,21.3%,9.8%,13.1%,15.4%,17.3%,16.8%,45.5%,39.1%,8%,28%,31%,10%,2%,16%,14%,22.9%,47.9%,51.8%,51.1%
132,FERTILITY CARE,WINTER PARK,FLORIDA,2017,48,24,22,5,52.1%,50.0%,27.3%,0 / 5,11.0%,18.0%,22.0%,3 / 13,1 / 3,2 / 6,10%,<1%,12%,10%,0%,9%,6%,1.9%,7.4%,4.8%,0 / 6
133,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,ATLANTA,GEORGIA,2017,268,149,148,65,48.9%,34.9%,16.9%,9.2%,4.7%,5.4%,11.0%,10.1%,45.7%,35.8%,13%,14%,23%,6%,6%,17%,33%,40.6%,55.9%,61.6%,50.9%
134,EMORY REPRODUCTIVE CENTER,ATLANTA,GEORGIA,2017,115,66,61,25,62.6%,51.5%,29.5%,20.0%,5.1%,10.6%,8.8%,14.6%,3 / 8,10 / 14,25%,8%,35%,15%,11%,31%,8%,7.8%,18.0%,15.4%,16.7%
135,REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,GEORGIA,2017,298,156,144,43,58.7%,41.0%,30.6%,23.3%,1.6%,2.6%,4.3%,4.8%,50.0%,38.4%,9%,11%,50%,4%,3%,28%,9%,39.6%,37.6%,36.9%,27.3%
136,SHADY GROVE FERTILITY-ATLANTA,ATLANTA,GEORGIA,2017,92,61,43,20,64.1%,41.0%,37.2%,15.0%,5.3%,2.3%,9.4%,7.3%,4 / 12,56.1%,21%,26%,40%,5%,7%,28%,8%,62.4%,60.0%,58.2%,57.1%
137,REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,AUGUSTA,GEORGIA,2017,47,16,9,6,72.3%,10 / 16,2 / 9,3 / 6,4.3%,5.4%,0 / 19,1 / 18,2 / 3,1 / 2,31%,12%,17%,29%,4%,30%,8%,3.6%,12.5%,0 / 13,1 / 12
138,SERVY MASSEY FERTILITY INSTITUTE,AUGUSTA,GEORGIA,2017,86,62,50,18,39.5%,17.7%,20.0%,3 / 18,3.3%,3.2%,10.0%,3.6%,2 / 5,10 / 14,16%,6%,17%,3%,6%,27%,33%,10.3%,6.4%,11.5%,1 / 18
139,"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY, LLC",COLUMBUS,GEORGIA,2017,64,7,13,4,45.3%,3 / 7,4 / 13,1 / 4,4.5%,12.5%,14.3%,1 / 8,,2 / 6,35%,84%,12%,17%,14%,59%,3%,5.0%,4.8%,0 / 14,2 / 6
140,THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,SAVANNAH,GEORGIA,2017,79,29,17,8,60.8%,48.3%,2 / 17,3 / 8,5.7%,9.8%,9.5%,1 / 14,,1 / 2,17%,16%,24%,9%,4%,43%,12%,1.8%,0.0%,0 / 18,0 / 13
141,ADVANCED REPRODUCTIVE CENTER OF HAWAII,HONOLULU,HAWAII,2017,45,16,20,15,48.9%,2 / 16,40.0%,3 / 15,5.0%,3.3%,2.0%,0.0%,1 / 2,8 / 8,17%,1%,9%,8%,0%,66%,24%,32.1%,32.0%,5 / 18,2 / 13
142,FERTILITY INSTITUTE OF HAWAII,HONOLULU,HAWAII,2017,88,46,33,11,53.4%,54.3%,45.5%,2 / 11,0.8%,0.0%,2.0%,0.0%,9 / 12,78.3%,15%,16%,19%,7%,1%,69%,5%,83.0%,80.0%,73.5%,62.1%
143,IVF HAWAII,HONOLULU,HAWAII,2017,22,26,32,12,45.5%,50.0%,31.3%,2 / 12,8.7%,3.4%,8.2%,16.0%,,2 / 6,14%,24%,51%,34%,4%,86%,52%,7.1%,11.4%,2.8%,2 / 13
144,PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,2017,44,38,28,30,40.9%,31.6%,25.0%,6.7%,4.9%,5.8%,9.2%,8.1%,0 / 1,46.0%,12%,4%,42%,31%,1%,55%,6%,3.2%,7.6%,8.6%,2.4%
145,TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,TRIPLER AMC,HAWAII,2017,43,14,5,6,48.8%,5 / 14,0 / 5,1 / 6,8.2%,13.0%,13.5%,2 / 18,,0 / 2,20%,12%,22%,8%,3%,33%,11%,15.1%,7.7%,4.5%,0 / 9
146,IDAHO CENTER FOR REPRODUCTIVE MEDICINE,BOISE,IDAHO,2017,108,44,41,9,50.9%,34.1%,24.4%,1 / 9,3.6%,3.5%,6.3%,11.1%,2 / 2,54.6%,8%,8%,19%,5%,3%,23%,31%,38.4%,50.5%,57.4%,58.3%
147,RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,AURORA,ILLINOIS,2017,58,29,26,13,34.5%,3.4%,0.0%,0 / 13,21.2%,6.5%,3 / 14,4 / 13,,0 / 1,6%,48%,16%,16%,2%,18%,2%,0.0%,0.0%,0 / 9,0 / 9
148,FERTILITY CENTERS OF ILLINOIS-RIVER NORTH IVF,CHICAGO,ILLINOIS,2017,722,414,422,218,51.5%,34.8%,26.1%,7.8%,7.1%,11.3%,13.4%,20.4%,32.0%,42.1%,5%,19%,28%,4%,3%,18%,29%,9.1%,13.1%,21.2%,18.9%
149,INSTITUTE FOR HUMAN REPRODUCTION (IHR),CHICAGO,ILLINOIS,2017,114,63,70,69,39.5%,34.9%,21.4%,5.8%,6.6%,7.2%,9.3%,7.0%,0 / 1,6 / 12,6%,17%,54%,4%,5%,36%,13%,39.1%,50.9%,37.9%,60.0%
150,NORTHWESTERN FERTILITY AND REPRODUCTIVE MEDICINE,CHICAGO,ILLINOIS,2017,298,182,147,88,50.0%,33.5%,23.1%,15.9%,8.7%,8.0%,14.1%,19.1%,1 / 1,47.2%,5%,16%,29%,3%,3%,16%,41%,17.0%,26.7%,28.2%,22.7%
151,UNIVERSITY OF CHICAGO MEDICINE CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,CHICAGO,ILLINOIS,2017,28,20,32,11,42.9%,30.0%,21.9%,3 / 11,3.6%,14.3%,8.9%,2 / 10,,2 / 2,21%,10%,17%,3%,4%,25%,13%,9.4%,3 / 18,19.0%,0 / 6
152,UNIVERSITY OF ILLINOIS AT CHICAGO IVF PROGRAM,CHICAGO,ILLINOIS,2017,61,28,40,18,36.1%,28.6%,22.5%,1 / 18,4.8%,10.0%,14.9%,4 / 18,,1 / 4,20%,20%,24%,4%,13%,31%,8%,5.6%,0.0%,0.0%,0 / 13
153,VIOS FERTILITY INSTITUTE-CHICAGO,CHICAGO,ILLINOIS,2017,0,0,0,0,,,,,0.8%,0.9%,1.0%,4.1%,2 / 2,8 / 18,4%,16%,53%,5%,10%,8%,11%,24.1%,36.0%,48.8%,27.3%
154,WOMEN'S HEALTH CONSULTANTS,CHICAGO,ILLINOIS,2017,47,44,27,27,31.9%,29.5%,25.9%,7.4%,6.2%,3.3%,8.3%,5.7%,,3 / 5,29%,42%,44%,11%,45%,37%,23%,0.0%,0.0%,9.1%,2 / 18
155,CENTER FOR REPRODUCTIVE HEALTH/JOLIET IVF,CREST HILL,ILLINOIS,2017,57,22,18,6,45.6%,40.9%,0 / 18,1 / 6,0.0%,0.0%,0.0%,0 / 4,,3 / 6,6%,20%,35%,2%,<1%,17%,1%,28.1%,8.3%,33.3%,1 / 2
156,MIDWEST FERTILITY CENTER,DOWNERS GROVE,ILLINOIS,2017,53,30,19,11,17.0%,10.0%,3 / 19,1 / 11,1.7%,3.4%,3.6%,1 / 12,,0 / 3,18%,17%,33%,4%,12%,17%,6%,1.8%,3.6%,8.3%,1 / 10
157,"DAVIES FERTILITY & IVF SPECIALISTS, SC",GLENVIEW,ILLINOIS,2017,104,41,45,26,41.3%,36.6%,20.0%,11.5%,5.2%,7.5%,6.3%,29.7%,,4 / 11,4%,10%,26%,2%,1%,24%,12%,49.4%,63.3%,23.1%,5 / 10
158,ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,ILLINOIS,2017,266,90,112,39,66.9%,51.1%,30.4%,23.1%,2.7%,9.1%,9.6%,11.7%,71.7%,51.0%,8%,21%,33%,6%,4%,21%,21%,21.1%,35.9%,29.1%,21.8%
159,FERTILITY CENTERS OF ILLINOIS-HIGHLAND PARK IVF CENTER,HIGHLAND PARK,ILLINOIS,2017,370,276,261,137,43.0%,30.1%,17.6%,6.6%,7.4%,8.5%,7.4%,13.9%,12 / 16,47.4%,4%,12%,44%,2%,3%,27%,57%,40.2%,46.9%,49.0%,50.5%
160,HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,2017,20,6,10,1,40.0%,4 / 6,1 / 10,0 / 1,3.3%,9.5%,5 / 10,1 / 1,1 / 1,,8%,12%,20%,20%,5%,41%,21%,0.0%,0 / 14,0 / 4,
161,INVIA FERTILITY SPECIALISTS,HOFFMAN ESTATES,ILLINOIS,2017,167,84,59,26,61.7%,42.9%,25.4%,7.7%,3.7%,8.1%,11.9%,6.3%,,40.8%,7%,14%,15%,4%,6%,10%,36%,22.7%,25.0%,25.8%,34.0%
162,THE ADVANCED IVF INSTITUTE,NAPERVILLE,ILLINOIS,2017,173,117,75,51,58.4%,42.7%,21.3%,7.8%,8.3%,8.4%,9.6%,15.3%,,47.1%,7%,25%,36%,5%,8%,29%,7%,10.1%,18.8%,14.3%,17.6%
163,IVF1,NAPERVILLE,ILLINOIS,2017,139,84,62,39,61.2%,44.0%,27.4%,23.1%,7.2%,13.7%,11.3%,12.0%,1 / 2,50.0%,13%,8%,30%,6%,10%,33%,5%,56.3%,72.5%,70.7%,53.1%
164,REPRODUCTIVE MEDICINE INSTITUTE,OAK BROOK,ILLINOIS,2017,261,157,189,76,50.6%,26.8%,18.0%,18.4%,4.7%,7.5%,7.2%,7.2%,5 / 8,42.1%,12%,23%,22%,5%,5%,15%,24%,14.4%,28.8%,25.8%,16.9%
165,"DANIEL ROSTEIN, MD, SC",OAK BROOK,ILLINOIS,2017,0,0,1,0,,,0 / 1,,0 / 1,,0 / 3,,1 / 1,,38%,0%,38%,0%,0%,0%,13%,0 / 1,,0 / 3,
166,ADVANCED REPRODUCTIVE CENTER,ROCKFORD,ILLINOIS,2017,51,20,15,8,54.9%,55.0%,4 / 15,1 / 8,2.5%,3.7%,0 / 13,2 / 5,,5 / 9,16%,11%,16%,4%,4%,33%,2%,2.9%,8.3%,1 / 10,0 / 3
167,CHICAGO IVF,SKOKIE,ILLINOIS,2017,186,90,71,38,31.7%,17.8%,12.7%,0.0%,0.0%,2.5%,0.8%,4.6%,25.0%,4.3%,17%,19%,25%,9%,14%,34%,9%,7.1%,10.9%,20.3%,12.8%
168,NORTH SHORE FERTILITY,SKOKIE,ILLINOIS,2017,24,9,27,27,25.0%,1 / 9,7.4%,0.0%,1.1%,0.0%,0.0%,0.0%,1 / 4,0 / 7,4%,9%,13%,<1%,6%,8%,3%,17.3%,11.5%,19.0%,2 / 15
169,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE FERTILITY AND IVF CENTER,SPRINGFIELD,ILLINOIS,2017,81,37,16,10,64.2%,37.8%,6 / 16,2 / 10,8.6%,8.2%,25.0%,2 / 13,1 / 1,2 / 5,14%,22%,19%,14%,1%,24%,5%,1.2%,9.8%,1 / 14,1 / 7
170,VIOS FERTILITY INSTITUTE-SWANSEA,SWANSEA,ILLINOIS,2017,65,44,19,6,49.2%,27.3%,2 / 19,0 / 6,10.1%,22.4%,23.7%,10.0%,3 / 5,2 / 4,6%,23%,33%,8%,8%,23%,2%,9.2%,28.9%,15.0%,4 / 11
171,"SETH LEVRANT, MD, PC",TINLEY PARK,ILLINOIS,2017,29,9,12,3,55.2%,2 / 9,3 / 12,0 / 3,11.1%,21.1%,11.5%,0 / 5,,0 / 5,23%,40%,22%,12%,25%,29%,31%,5.1%,8.0%,1 / 16,0 / 5
172,MIDWEST FERTILITY SPECIALISTS,CARMEL,INDIANA,2017,309,116,76,26,39.2%,25.0%,11.8%,7.7%,8.6%,10.7%,16.6%,10.8%,5 / 9,28.7%,7%,10%,24%,8%,2%,34%,23%,57.5%,56.9%,65.3%,41.9%
173,"ADVANCED REPRODUCTION INSTITUTE, LLC",EVANSVILLE,INDIANA,2017,60,19,11,8,41.7%,6 / 19,3 / 11,0 / 8,9.0%,8.8%,2 / 12,1 / 10,,2 / 3,23%,42%,16%,25%,5%,24%,8%,0.0%,0.0%,0 / 9,0 / 7
174,ADVANCED FERTILITY GROUP,INDIANAPOLIS,INDIANA,2017,31,17,13,3,51.6%,8 / 17,2 / 13,1 / 3,5.1%,0.0%,0 / 2,2 / 5,1 / 1,2 / 4,4%,46%,17%,14%,0%,47%,10%,3.3%,5.0%,0 / 2,0 / 3
175,COMMUNITY FERTILITY SPECIALTY CARE,INDIANAPOLIS,INDIANA,2017,49,23,15,4,44.9%,30.4%,1 / 15,0 / 4,9.9%,2.7%,13.3%,2 / 12,,1 / 3,8%,11%,9%,24%,4%,37%,20%,14.5%,7.4%,4.2%,0 / 8
176,"FAMILY BEGINNINGS, PC",INDIANAPOLIS,INDIANA,2017,75,30,36,4,21.3%,3.3%,2.8%,0 / 4,12.8%,8.1%,11.4%,14.3%,,0 / 2,15%,17%,18%,5%,0%,18%,7%,20.5%,45.7%,6 / 15,1 / 4
177,HENRY FERTILITY DBA,INDIANAPOLIS,INDIANA,2017,62,14,8,7,72.6%,4 / 14,2 / 8,1 / 7,1.0%,13.0%,14.3%,0 / 10,,6 / 10,7%,45%,7%,8%,6%,21%,23%,9.3%,3 / 14,2 / 16,4 / 8
178,INDIANA FERTILITY INSTITUTE,INDIANAPOLIS,INDIANA,2017,190,74,48,12,46.8%,39.2%,31.3%,1 / 12,5.4%,12.2%,10.8%,9.1%,,34.4%,4%,22%,14%,16%,3%,22%,15%,22.5%,40.3%,51.1%,6 / 18
179,INDIANA UNIVERSITY HOSPITAL,INDIANAPOLIS,INDIANA,2017,0,2,0,0,,1 / 2,,,1 / 16,0 / 1,1 / 7,,,,8%,32%,4%,20%,0%,20%,28%,0 / 12,0 / 1,3 / 3,
180,BOSTON IVF AT THE WOMEN'S HOSPITAL,NEWBURGH,INDIANA,2017,123,34,37,5,62.6%,29.4%,40.5%,0 / 5,5.0%,13.6%,2.9%,7.7%,6 / 8,,14%,34%,29%,19%,3%,50%,4%,24.5%,28.6%,5 / 19,3 / 13
181,"MID-IOWA FERTILITY, PC",CLIVE,IOWA,2017,200,60,47,10,49.0%,50.0%,21.3%,1 / 10,5.3%,7.6%,10.9%,16.1%,,50.0%,6%,18%,16%,8%,1%,26%,7%,38.6%,53.8%,52.3%,8 / 11
182,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,2017,229,77,75,29,68.1%,53.2%,25.3%,24.1%,7.8%,14.7%,12.4%,14.3%,6 / 11,8 / 17,17%,16%,16%,10%,4%,33%,10%,6.9%,7.8%,12.8%,6.7%
