,Unnamed: 0,Reviews_by_sentence,Clinic,Ratings,clean_answers,Topics
83,83,Doctor was all talk no action,Columbia University Fertility,1,doctor talk no action,Advice
84,84,  Spends a lot of time detailing plans but then doesn't actually follow through,Columbia University Fertility,1,spend lot time detailing plan not actually follow,Doctor
85,85,  No thanks for this place,Columbia University Fertility,1,no thanks place,Cost
86,86,My husband and I came to Columbia Fertility after having a terrible experience with another fertility doctor in Manhattan who made me feel old and defective,Columbia University Fertility,5,husband come columbia fertility terrible experience another fertility doctor manhattan make feel old defective,Clinic
87,87," When we arrived at Columbia Fertility, we were impressed with the facility",Columbia University Fertility,5,arrive columbia fertility impress facility,Clinic
88,88," It was welcoming, bright, and new, everything you want from a clinic",Columbia University Fertility,5,welcome bright new everything want clinic,Clinic
89,89, The receptionists were all nice and pleasant,Columbia University Fertility,5,receptionist nice pleasant,Clinic
90,90, The wait for appointments and morning monitoring was never long,Columbia University Fertility,5,wait appointment morning monitoring never long,Clinic
91,91, The nurses and technicians became like friends,Columbia University Fertility,5,nurse technician become like friend,Clinic
92,92," They were supportive and friendly, at a time when you really need to see a smile",Columbia University Fertility,5,supportive friendly time really need see smile,Clinic
93,93, Dr Karipcin was our doctor and she was amazing,Columbia University Fertility,5,dr karipcin doctor amaze,Doctor
94,94," She is a smart, competent, and dedicated professional",Columbia University Fertility,5,smart competent dedicate professional,Doctor
95,95," She answered all our questions, answered our emails promptly, and was always positive",Columbia University Fertility,5,answer question answer email promptly always positive,Nurse
96,96," Once, when she was done with a procedure with a different patient, she quickly came to see me to personally review my ultrasound and speak to me",Columbia University Fertility,5,do procedure different patient quickly come see personally review ultrasound speak,Doctor
97,97, She is just a wonderfully compassionate and warm person,Columbia University Fertility,5,wonderfully compassionate warm person,Doctor
98,98, We were so lucky to have worked with her,Columbia University Fertility,5,lucky work,Nurse
99,99, She will always be a part of our family,Columbia University Fertility,5,always part family,Advice
100,100, We can't recommend her enough,Columbia University Fertility,5,cannot recommend enough,Protocols
101,101,"We had a wonderful experience here, primarily because of dr Brady",Columbia University Fertility,5,wonderful experience primarily dr brady,Clinic
102,102," From the very beginning till the end, she was very knowledgeable, attentive and considerate, and she was always easy to talk to and responded to our questions both in person and via email",Columbia University Fertility,5,beginning till end knowledgeable attentive considerate always easy talk respond question person via email,Doctor
103,103, Thank you doctor!,Columbia University Fertility,5,thank doctor,Advice
104,104,The Columbia Fertility Center has been amazing! I started seeing them less than a year ago for IVF and they have been very helpful every step of the way,Columbia University Fertility,5,columbia fertility center amaze start seeing le year ago ivf helpful every step way,Clinic
105,105, I was specifically a patient of Dr Forman and his bedside manner is exceptional,Columbia University Fertility,5,specifically patient dr forman bedside manner exceptional,Doctor
106,106, I frequently emailed him serious and silly questions and he always answered quickly,Columbia University Fertility,5,frequently email serious silly question always answer quickly,Advice
107,107, In addition he makes it very clear that he cares about your overall health,Columbia University Fertility,5,addition make clear care overall health,Advice
108,108," Even on days he wasn't scheduled to perform certain procedures, he made it a point to be there anyway for his patients",Columbia University Fertility,5,even days not schedule perform certain procedure make point anyway patient,Advice
109,109, During the monitoring phases of IVF you may not always see your doctor but that never made me feel uncomfortable because they were all warm and supportive of your concerns,Columbia University Fertility,5,monitoring phase ivf may not always see doctor never make feel uncomfortable warm supportive concern,Clinic
110,110,  A lot of women use this center for their fertility and it's incredible how the office is able to manage it,Columbia University Fertility,5,lot woman use center fertility incredible office able manage,Clinic
111,111," I have never sat in the waiting room for a long time, even when it is busy",Columbia University Fertility,5,never sat waiting room long time even busy,Clinic
112,112, They are great!,Columbia University Fertility,5,great,Nurse
113,113,My husband and I had the good fortune of being connected to Dr Forman during our journey through conception,Columbia University Fertility,5,husband good fortune connect dr forman journey conception,Doctor
114,114, From the day we met with Dr Eric Forman it was all positive and promising,Columbia University Fertility,5,day meet dr eric forman positive promise,Doctor
115,115," We have never met with a more attentive, caring, compassionate and empathic doctor and facility",Columbia University Fertility,5,never meet attentive caring compassionate empathic doctor facility,Clinic
116,116, Columbia university fertility center has the most inviting caregivers,Columbia University Fertility,5,columbia university fertility center invite caregiver,Advice
117,117, We are blessed to be associated with them and Dr Forman,Columbia University Fertility,5,bless associate dr forman,Advice
118,118, Both my husband and I have been very demanding in our attention from the doctor and his team and we got nothing short of it,Columbia University Fertility,5,husband demand attention doctor team get nothing short,Doctor
119,119," Instead, they have given us more than promised at every appointment with respect to their time and answers to every question that we had",Columbia University Fertility,5,instead given us promise every appointment respect time answer every question,Doctor
120,120, The best team to go to if you're looking for the right doctor for IVF,Columbia University Fertility,5,best team go looking right doctor ivf,Advice
121,121, Can't thank you all enough,Columbia University Fertility,5,cannot thank enough,Cost
122,122,I had a great experience with Columbia Fertility and would highly recommend to anyone,Columbia University Fertility,5,great experience columbia fertility would highly recommend anyone,Clinic
123,123, Dr Rackow and my care team (nurse and care coordinator) were such a pleasure to work with and extremely thorough and informative,Columbia University Fertility,5,dr rackow care team nurse care coordinator pleasure work extremely thorough informative,Nurse
124,124, I felt like I was in great hands throughout my entire experience,Columbia University Fertility,5,felt like great hands throughout entire experience,Clinic
125,125, The people at the front desk were always so friendly and helpful,Columbia University Fertility,5,people front desk always friendly helpful,Clinic
126,126,Dr McConnell was amazing,Columbia University Fertility,5,dr mcconnell amaze,Doctor
127,127," She was extremely patient with me, answering (in detail) any and numerous questions that crossed my mind",Columbia University Fertility,5,extremely patient answer detail numerous question cross mind,Doctor
128,128," She is passionate about her work, she is rewarded internally when she experiences her patients become moms-to-be",Columbia University Fertility,5,passionate work reward internally experience patient become mom,Doctor
129,129,"My husband and I are extremely joyful that we had the experience to work with Dr McConnell, as our fertility specialist",Columbia University Fertility,5,husband extremely joyful experience work dr mcconnell fertility specialist,Doctor
130,130," She paid close attention to my body through bloodwork, which directed her to give me an IVF treatment that was catered for my body",Columbia University Fertility,5,pay close attention body bloodwork direct give ivf treatment cater body,Cost
131,131, The IVF treatment plan worked,Columbia University Fertility,5,ivf treatment plan work,Cost
132,132, Currently we are expecting a healthy baby!!!!!!,Columbia University Fertility,5,currently expect healthy baby !!!!!!,Protocols
133,133,Dr Forman and the team at Columbia are among the very best out there,Columbia University Fertility,5,dr forman team columbia among best,Doctor
134,134," Dr Forman is the most responsive, accessible doctor I have ever worked with: he always answered emails within the day, sometimes within minutes, and he was willing to have lengthy phone conversations with me to go over any and every question I had",Columbia University Fertility,5,dr forman responsive accessible doctor ever work : always answer email within day sometimes within minutes willing lengthy phone conversation go every question,Doctor
135,135, He is extremely knowledgeable and willing to share as much granular information as you need; I always felt I could question the particular reasoning behind a decision to understand it better but also trust his expertise,Columbia University Fertility,5,extremely knowledgeable willing share much granular information need ; always felt could question particular reasoning behind decision understand better also trust expertise,Doctor
136,136," Dr Forman always treated me as an individual, as he adjusted my protocols over the course of treatment to get better and better outcomes",Columbia University Fertility,5,dr forman always treat individual adjust protocol course treatment get better better outcome,Doctor
137,137," While he seems a bit quiet and not super warm/fuzzy at first, he clearly cares about his patients--who else calls the evening before a retrieval to check if you have any last questions and wish you luck??--and goes above and beyond to help",Columbia University Fertility,5,seem bit quiet not super warm fuzzy first clearly care patient -- else call evening retrieval check last question wish luck ??-- go beyond help,Advice
138,138, The office also runs smoothly,Columbia University Fertility,5,office also run smoothly,Clinic
139,139," I never had to wait more than ten minutes for morning monitoring--very important when you're squeezing these many appointments into the early hours before work! IVF is such a stressful experience, and you want to work with experts who will make it as manageable as possible",Columbia University Fertility,5,never wait ten minutes morning monitoring -- important squeezing many appointment early hours work ivf stressful experience want work expert make manageable possible,Clinic
140,140, Can't recommend Dr Forman highly enough,Columbia University Fertility,5,cannot recommend dr forman highly enough,Protocols
141,141,I cannot say enough good things about my experience with Dr Forman and the team at Columbia's fertility center,Columbia University Fertility,5,cannot say enough good things experience dr forman team columbia ' fertility center,Advice
142,142, I write this as my two week old naps,Columbia University Fertility,5,write two week old nap,Protocols
143,143, We began our journey nervous and very unsure of what to expect,Columbia University Fertility,5,begin journey nervous unsure expect,Doctor
144,144, Dr Forman is everything you could want and more in a doctor,Columbia University Fertility,5,dr forman everything could want doctor,Advice
145,145, He was professional and informative but also explained everything in language that we could understand,Columbia University Fertility,5,professional informative also explain everything language could understand,Doctor
146,146, He was positive and reassuring and was ALWAYS available to answer any and all questions,Columbia University Fertility,5,positive reassure always available answer question,Nurse
147,147, I felt bad emailing him on the weekends because I knew that he would answer within hours and I did not want to take him away from his family,Columbia University Fertility,5,felt bad email weekend know would answer within hours not want take away family,Doctor
148,148, Dr Forman checked in with the office and emailed me while on his vacation to tell me that my blood test results were positive and that the IVF round was successful,Columbia University Fertility,5,dr forman check office email vacation tell blood test result positive ivf round successful,Doctor
149,149, This communication is above and beyond and the whole team at Columbia never made me feel like there was a silly or stupid question,Columbia University Fertility,5,communication beyond whole team columbia never make feel like silly stupid question,Clinic
150,150," Being a teacher, the monitoring hours worked for me and they were able to accommodate me by giving me one of the first appointments",Columbia University Fertility,5,teacher monitoring hours work able accommodate giving one first appointment,Clinic
151,151, There were some days that I waited longer than usual to be seen but it did not happen often,Columbia University Fertility,5,days wait longer usual see not happen often,Clinic
152,152," While there are many women that go through their offices every day, every doctor and nurse cares about the individual patient",Columbia University Fertility,5,many woman go office every day every doctor nurse care individual patient,Doctor
153,153," Over the course of my journey, I got to know the staff so well that I felt sad leaving to my regular obgyn",Columbia University Fertility,5,course journey get know staff well felt sad leaving regular obgyn,Doctor
154,154, I continued my pregnancy with Columbia doctors and continued to have a great experience,Columbia University Fertility,5,continue pregnancy columbia doctor continue great experience,Protocols
155,155, I have recommended Columbia fertility to many people and we are eternally grateful for everything they have done for us,Columbia University Fertility,5,recommend columbia fertility many people eternally grateful everything do us,Clinic
156,156,Dr Rachel McConnell is an outstanding physician,Columbia University Fertility,5,dr rachel mcconnell outstanding physician,Advice
157,157, She gives you hope and leaves you feeling confident in her capable and caring hands,Columbia University Fertility,5,give hope leaf feeling confident capable caring hands,Advice
158,158," We have our family thanks to her!! The new Westchester location is beautiful, state of the art, and conveniently located",Columbia University Fertility,5,family thanks !! new westchester location beautiful state art conveniently locate,Clinic
159,159, And the staff are equally as caring and helpful,Columbia University Fertility,5,staff equally caring helpful,Nurse
160,160, We are forever grateful for their help in growing our family!,Columbia University Fertility,5,forever grateful help growing family,Clinic
161,161,"We came to Columbia after reading the positive reviews on Fertility IQ, particularly for Dr Forman",Columbia University Fertility,5,come columbia reading positive review fertility iq particularly dr forman,Doctor
162,162, The reviews have proven to be spot on,Columbia University Fertility,5,review prove spot,Clinic
163,163," Dr Forman is caring and highly communicative (no other doctor has ever emailed me to keep me informed at each stage), and really takes all the delicate factors (labs, insurance, age, etc",Columbia University Fertility,5,"dr forman caring highly communicative no doctor ever email keep inform stage ), really take delicate factor lab insurance age etc",Doctor
164,164,) of a patient's unique profile into consideration,Columbia University Fertility,5,patient ' unique profile consideration,Advice
165,165," The Columbia team as a whole has been wonderful - from the front desk, to the nurses, to the staff who coordinate medications, everyone has been professional and sensitive, and things have moved along seamlessly",Columbia University Fertility,5,columbia team whole wonderful front desk nurse staff coordinate medication everyone professional sensitive things move along seamlessly,Clinic
166,166," Infertility is physically and emotionally draining, but my husband and I have been able to relax somewhat knowing that they have everything under control here",Columbia University Fertility,5,infertility physically emotionally drain husband able relax somewhat knowing everything control,Clinic
167,167,I cannot say enough great things about this practice,Columbia University Fertility,5,cannot say enough great things practice,Advice
168,168, I had a wonderful experience at Columbia Fertility from consultation to conception,Columbia University Fertility,5,wonderful experience columbia fertility consultation conception,Clinic
169,169," As a high risk patient, I was very nervous about finding the right doctor who understood my condition and I had the extremely good fortune of being connected with Dr Brady who could not have been more caring and thorough",Columbia University Fertility,5,high risk patient nervous finding right doctor understand condition extremely good fortune connect dr brady could not caring thorough,Doctor
170,170," She is *extremely* knowledgeable, answered all of my questions, and has a very comforting bedside manner which is so important",Columbia University Fertility,5,extremely knowledgeable answer question comfort bedside manner important,Doctor
171,171, Me and my husband both felt confident that we were in the best hands possible,Columbia University Fertility,5,husband felt confident best hands possible,Doctor
172,172," The office staff, nurses, care coordinators -- they are all so kind and attentive (and the office itself is very relaxing + clean",Columbia University Fertility,5,office staff nurse care coordinator -- kind attentive office relax + clean,Clinic
173,173,Loved all the staff at Columbia University Fertility,Columbia University Fertility,5,love staff columbia university fertility,Advice
174,174, They were very helpful and compassionate,Columbia University Fertility,5,helpful compassionate,Clinic
175,175," From the very first step of receiving information to the end of my process, Dr Brady along with her team, Sherry and Varda, truly made me feel very comfortable and made the journey much easier",Columbia University Fertility,5,first step receive information end process dr brady along team sherry varda truly make feel comfortable make journey much easy,Nurse
176,176,I am extremely happy with this center,Columbia University Fertility,5,extremely happy center,Advice
177,177,  The staff are always courteous and Dr Paula Brady is amazing,Columbia University Fertility,5,staff always courteous dr paula brady amaze,Nurse
178,178,  She has an excellent bedside manner and takes time to explain everything with her patients,Columbia University Fertility,5,excellent bedside manner take time explain everything patient,Doctor
179,179,  I went for a routine visit and had a general question and she went through the history of my chart to respond in a way that was suited for my individual program,Columbia University Fertility,5,go routine visit general question go history chart respond way suit individual program,Doctor
180,180,  She really seems to care about her patients and makes sure to go beyond to make sure you are comfortable throughout the entire process,Columbia University Fertility,5,really seem care patient make sure go beyond make sure comfortable throughout entire process,Doctor
181,181,"  I have been to 3 different centers and this is by far the most thorough, most courteous, caring and treats each patient as though you are their only patient",Columbia University Fertility,5,3 different center far thorough courteous caring treat patient though patient,Clinic
182,182,"They have attempted to re-brand themselves with a new office and new Yelp page, but this is the same old crappy CWRC with a new name",Columbia University Fertility,1,attempt brand new office new yelp page old crappy cwrc new name,Clinic
183,183," After leaving this agency, I went to New Hope Fertility Center and I'm finally pregnant",Columbia University Fertility,1,leaving agency go new hope fertility center ' finally pregnant,Clinic
184,184," I went to Columbia in July 2018, paid over $13K up front for a cycle that ended up not working, and fast forward to Dec 2018/Jan 2019 and I'm still receiving bills from them! It seems like Columbia is trying to double dip! They collected my money up front, and then tried to bill my insurance too",Columbia University Fertility,1,go columbia july 2018 pay $ 13k front cycle end not working fast forward dec 2018 jan 2019 ' still receive bill seem like columbia try double dip collect money front try bill insurance,Cost
185,185," On top of  trying to charge me for monitoring services that I previously paid for before the start of the cycle, they are trying to charge me $1200 for frozen embryos that aren't even normal",Columbia University Fertility,1,top try charge monitoring services previously pay start cycle try charge $ 1200 freeze embryo not not even normal,Cost
186,186, Just got off the phone with their billing person and he couldn't even explain why I was receiving bills and told me to call the fixer or customer service person at Columbia,Columbia University Fertility,1,get phone billing person could not even explain receive bill tell call fixer customer service person columbia,Clinic
187,187," Of course, no one answered the phone upon me calling",Columbia University Fertility,1,course no one answer phone upon calling,Doctor
188,188, I don't blame Columbia for my cycle not working,Columbia University Fertility,1,not blame columbia cycle not working,Cost
189,189, Maybe it just wasn't my month,Columbia University Fertility,1,maybe not month,Protocols
190,190," But, I do blame them for not having their billing situation together",Columbia University Fertility,1,blame not billing situation together,Clinic
191,191, I don't need any stress in my life during this pregnancy,Columbia University Fertility,1,not need stress life pregnancy,Protocols
192,192," Yet, every time I see a false bill from them my stress level goes up",Columbia University Fertility,1,yet every time see false bill stress level go,Doctor
193,193, It's really not acceptable,Columbia University Fertility,1,really not acceptable,Protocols
194,194,I went to this office for the first time mainly due to seeing Jen the pheblemist in the elevator,Columbia University Fertility,5,go office first time mainly due seeing jen pheblemist elevator,Clinic
195,195, She expressed to me come up to the penthouse and check it out,Columbia University Fertility,5,express come penthouse check,Advice
196,196, I am so happy thus far I did,Columbia University Fertility,5,happy thus far,Protocols
197,197, Also the front desk is so professional and resourceful,Columbia University Fertility,5,also front desk professional resourceful,Clinic
