,Reviews_by_sentence,Clinic,clean_answers
49, After such outstanding level of care and professionalism I decide to switch all my doctors to Columbia doctors!,Columbia University Fertility,outstanding level care professionalism decide switch doctor columbia doctor
50,I had a great experience with Columbia Fertility  doctors and staff over a couple of years,Columbia University Fertility,great experience columbia fertility doctor staff couple year
51,  The staff was so friendly they felt like extended family while going through the ups and downs that can occur with fertility woes,Columbia University Fertility,staff friendly feel like extend family go up down occur fertility woe
52,"  All who I interacted with were attentive and responsive- from the front desk staff, nursing staff, back office staff and the doctors",Columbia University Fertility,interact attentive responsive desk staff nurse staff office staff doctor
53,"  Over the course of two years there were many who I interacted with and I would call out their names but I don't want to leave anyone out! It was a happy day to ""graduate"" and be released to my ob gyn with hugs and high fives from the staff and Dr Forman!  Fast forward to almost a year later and I'm a first time parent to a happy and healthy baby girl",Columbia University Fertility,course year interact name want leave happy day graduate release ob gyn hug high five staff dr forman fast forward year late time parent happy healthy baby girl
54, thanks in part to the efforts of the former CWRC aka Columbia University Fertility,Columbia University Fertility,thank effort cwrc aka columbia university fertility
55, I'm happy to have chosen Columbia to address my fertility issues years ago!,Columbia University Fertility,happy choose columbia address fertility issue year ago
56,We had a wonderful experience at Columbia University Fertility Center,Columbia University Fertility,wonderful experience columbia university fertility center
57, Dr Karipcin was amazing and we were lucky to have her,Columbia University Fertility,dr karipcin amaze lucky
58, She's a caring and compassionate doctor,Columbia University Fertility,care compassionate doctor
59,  She answered all my questions and concerns,Columbia University Fertility,answer question concern
60," She was very supportive of me going forward with IVF, so we felt very confident under her care",Columbia University Fertility,supportive go forward ivf feel confident care
61, We will definitely go back to her if we decide to have a 2nd baby!,Columbia University Fertility,definitely decide 2nd baby
62,My husband and I decided on Columbia after stumbling upon an insanely high review of Dr Forman via a blog post (and then further review stalking on Fertility IQ),Columbia University Fertility,husband decide columbia stumble insanely high review dr forman blog post review stalk fertility iq
63, Dr Forman and the entire Columbia Fertility staff are the nicest people you'll ever come across throughout your fertility journey,Columbia University Fertility,dr forman entire columbia fertility staff nice people come fertility journey
64," The office space is bright and clean, the employees are constantly smiling, no matter what time of day it is, and the communication process cannot be beat",Columbia University Fertility,office space bright clean employee constantly smile matt time day communication process beat
65, The wait time for appointments is either nonexistent or extremely low considering other doctors offices I've been too,Columbia University Fertility,wait time appointment nonexistent extremely low consider doctor office
66," Dr Forman is an open book and has the fastest response rate of pretty much anyone I've ever emailed with, period",Columbia University Fertility,dr forman open book fast response rate pretty email period
67, No question is dumb or too small for him,Columbia University Fertility,question dumb small
68, He gets how stressful of a process this is for you and truly does everything he can to make you feel as comfortable and well informed as possible,Columbia University Fertility,get stressful process truly feel comfortable inform possible
69," A few specific logistical perks of Columbia are that they make morning monitoring appointments for you (as opposed to first come, first served, walk-in time frames which is how a lot of other places do it)",Columbia University Fertility,specific logistical perk columbia morning monitor appointment oppose come serve walk time frame lot place
70," Additionally, procedures are done on-site in the back surgical room (as opposed to going to the corresponding hospital which is also how other places seem to do it)",Columbia University Fertility,additionally procedure site surgical room oppose go correspond hospital place
71," Finally, instead of taking an injection class, we were able to sit down one-on-one with a nurse to go over the process",Columbia University Fertility,finally instead take injection class able sit nurse process
72," These are little things, but make a huge difference throughout the experience",Columbia University Fertility,little thing huge difference experience
73," No matter what route you end up taking to get pregnant, there are a ton of appointments involved",Columbia University Fertility,matt route end take pregnant ton appointment involve
74, Columbia really has thought about all of the intricacies and has done a great job making it as streamlined as possible for patients,Columbia University Fertility,columbia think intricacy great job make streamline possible patient
75, A million thank you's to every single person we crossed paths with at Columbia- we are forever grateful for all of you and will definitely be back for baby #2!,Columbia University Fertility,million thank single person cross path columbia forever grateful definitely baby 2
76,"5 years to get pregnant! I had some uterus issues, and we did 2 egg retrievals and 3 embryo transfers (3rd one worked!)",Columbia University Fertility,5 year pregnant uterus issue 2 egg retrieval 3 embryo transfer 3rd work
77," We've been with Columbia this entire time, and couldn't be happier with our decision",Columbia University Fertility,columbia entire time happy decision
78," They make you feel welcome, they are fast, and they communicate well",Columbia University Fertility,feel welcome fast communicate
79," Of course there were bad days, hormonal days, sad days, but through it all my care team was supportive! The nurses smile at you and they try to all learn your name",Columbia University Fertility,course bad day hormonal day sad day care team supportive nurse smile try learn
80," Dr Sinem Karipcin (Dr K) was positive, warm, and laughed with us through the good and bad times! I could not recommend Columbia more",Columbia University Fertility,dr sinem karipcin dr k positive warm laugh good bad time recommend columbia
81, The only downside is that I WISH that Dr K could be my OBGYN and deliver my baby!,Columbia University Fertility,downside wish dr k obgyn deliver baby
82,Doctor was all talk no action,Columbia University Fertility,doctor talk action
83,  Spends a lot of time detailing plans but then doesn't actually follow through,Columbia University Fertility,spends lot time detail plan actually follow
84,  No thanks for this place,Columbia University Fertility,thank place
85,My husband and I came to Columbia Fertility after having a terrible experience with another fertility doctor in Manhattan who made me feel old and defective,Columbia University Fertility,husband come columbia fertility have terrible experience fertility doctor manhattan feel old defective
86," When we arrived at Columbia Fertility, we were impressed with the facility",Columbia University Fertility,arrive columbia fertility impress facility
87," It was welcoming, bright, and new, everything you want from a clinic",Columbia University Fertility,welcome bright new want clinic
88, The receptionists were all nice and pleasant,Columbia University Fertility,receptionist nice pleasant
89, The wait for appointments and morning monitoring was never long,Columbia University Fertility,wait appointment morning monitor long
90, The nurses and technicians became like friends,Columbia University Fertility,nurse technician like friend
91," They were supportive and friendly, at a time when you really need to see a smile",Columbia University Fertility,supportive friendly time need smile
92, Dr Karipcin was our doctor and she was amazing,Columbia University Fertility,dr karipcin doctor amaze
93," She is a smart, competent, and dedicated professional",Columbia University Fertility,smart competent dedicate professional
94," She answered all our questions, answered our emails promptly, and was always positive",Columbia University Fertility,answer question answer email promptly positive
95," Once, when she was done with a procedure with a different patient, she quickly came to see me to personally review my ultrasound and speak to me",Columbia University Fertility,procedure different patient quickly come personally review ultrasound speak
96, She is just a wonderfully compassionate and warm person,Columbia University Fertility,wonderfully compassionate warm person
97, We were so lucky to have worked with her,Columbia University Fertility,lucky work
98, She will always be a part of our family,Columbia University Fertility,family
99, We can't recommend her enough,Columbia University Fertility,recommend
100,"We had a wonderful experience here, primarily because of dr Brady",Columbia University Fertility,wonderful experience primarily dr brady
101," From the very beginning till the end, she was very knowledgeable, attentive and considerate, and she was always easy to talk to and responded to our questions both in person and via email",Columbia University Fertility,begin till end knowledgeable attentive considerate easy talk respond question person email
102, Thank you doctor!,Columbia University Fertility,thank doctor
103,The Columbia Fertility Center has been amazing! I started seeing them less than a year ago for IVF and they have been very helpful every step of the way,Columbia University Fertility,columbia fertility center amaze start see year ago ivf helpful step way
104, I was specifically a patient of Dr Forman and his bedside manner is exceptional,Columbia University Fertility,specifically patient dr forman bedside manner exceptional
105, I frequently emailed him serious and silly questions and he always answered quickly,Columbia University Fertility,frequently email silly question answer quickly
106, In addition he makes it very clear that he cares about your overall health,Columbia University Fertility,addition make clear care overall health
107," Even on days he wasn't scheduled to perform certain procedures, he made it a point to be there anyway for his patients",Columbia University Fertility,day schedule perform certain procedure point patient
108, During the monitoring phases of IVF you may not always see your doctor but that never made me feel uncomfortable because they were all warm and supportive of your concerns,Columbia University Fertility,monitor phasis ivf doctor feel uncomfortable warm supportive concern
109,  A lot of women use this center for their fertility and it's incredible how the office is able to manage it,Columbia University Fertility,lot woman use center fertility incredible office able manage
110," I have never sat in the waiting room for a long time, even when it is busy",Columbia University Fertility,sit wait room long time busy
111, They are great!,Columbia University Fertility,great
112,My husband and I had the good fortune of being connected to Dr Forman during our journey through conception,Columbia University Fertility,husband good fortune connect dr forman journey conception
113, From the day we met with Dr Eric Forman it was all positive and promising,Columbia University Fertility,day meet dr eric forman positive promise
114," We have never met with a more attentive, caring, compassionate and empathic doctor and facility",Columbia University Fertility,meet attentive care compassionate empathic doctor facility
115, Columbia university fertility center has the most inviting caregivers,Columbia University Fertility,columbia university fertility center invite caregiver
116, We are blessed to be associated with them and Dr Forman,Columbia University Fertility,bless associate dr forman
117, Both my husband and I have been very demanding in our attention from the doctor and his team and we got nothing short of it,Columbia University Fertility,husband demand attention doctor team get short
118," Instead, they have given us more than promised at every appointment with respect to their time and answers to every question that we had",Columbia University Fertility,instead give promise appointment respect time answer question
119, The best team to go to if you're looking for the right doctor for IVF,Columbia University Fertility,well team look right doctor ivf
120, Can't thank you all enough,Columbia University Fertility,thank
121,I had a great experience with Columbia Fertility and would highly recommend to anyone,Columbia University Fertility,great experience columbia fertility highly recommend
122, Dr Rackow and my care team (nurse and care coordinator) were such a pleasure to work with and extremely thorough and informative,Columbia University Fertility,dr rackow care team nurse care coordinator pleasure work extremely thorough informative
123, I felt like I was in great hands throughout my entire experience,Columbia University Fertility,feel like great hand entire experience
124, The people at the front desk were always so friendly and helpful,Columbia University Fertility,people desk friendly helpful
125,Dr McConnell was amazing,Columbia University Fertility,dr mcconnell amaze
126," She was extremely patient with me, answering (in detail) any and numerous questions that crossed my mind",Columbia University Fertility,extremely patient answer detail numerous question cross mind
127," She is passionate about her work, she is rewarded internally when she experiences her patients become moms-to-be",Columbia University Fertility,passionate work reward internally experience patient mom
128,"My husband and I are extremely joyful that we had the experience to work with Dr McConnell, as our fertility specialist",Columbia University Fertility,husband extremely joyful experience work dr mcconnell fertility specialist
129," She paid close attention to my body through bloodwork, which directed her to give me an IVF treatment that was catered for my body",Columbia University Fertility,pay close attention body bloodwork direct ivf treatment cater body
130, The IVF treatment plan worked,Columbia University Fertility,ivf treatment plan work
131, Currently we are expecting a healthy baby!!!!!!,Columbia University Fertility,currently expect healthy baby
132,Dr Forman and the team at Columbia are among the very best out there,Columbia University Fertility,dr forman team columbia well
133," Dr Forman is the most responsive, accessible doctor I have ever worked with: he always answered emails within the day, sometimes within minutes, and he was willing to have lengthy phone conversations with me to go over any and every question I had",Columbia University Fertility,dr forman responsive accessible doctor work answer email day minute will lengthy phone conversation question
134, He is extremely knowledgeable and willing to share as much granular information as you need; I always felt I could question the particular reasoning behind a decision to understand it better but also trust his expertise,Columbia University Fertility,extremely knowledgeable will share granular information need feel question particular reason decision understand well trust expertise
135," Dr Forman always treated me as an individual, as he adjusted my protocols over the course of treatment to get better and better outcomes",Columbia University Fertility,dr forman treat individual adjust protocol course treatment well well outcome
136," While he seems a bit quiet and not super warm/fuzzy at first, he clearly cares about his patients--who else calls the evening before a retrieval to check if you have any last questions and wish you luck??--and goes above and beyond to help",Columbia University Fertility,bite quiet super warm fuzzy clearly care patient call even retrieval check question wish luckand go help
137, The office also runs smoothly,Columbia University Fertility,office run smoothly
138," I never had to wait more than ten minutes for morning monitoring--very important when you're squeezing these many appointments into the early hours before work! IVF is such a stressful experience, and you want to work with experts who will make it as manageable as possible",Columbia University Fertility,wait minute morning monitor important squeeze appointment early hour work ivf stressful experience want work expert manageable possible
139, Can't recommend Dr Forman highly enough,Columbia University Fertility,recommend dr forman highly
140,I cannot say enough good things about my experience with Dr Forman and the team at Columbia's fertility center,Columbia University Fertility,good thing experience dr forman team columbia fertility center
141, I write this as my two week old naps,Columbia University Fertility,write week old nap
142, We began our journey nervous and very unsure of what to expect,Columbia University Fertility,begin journey nervous unsure expect
143, Dr Forman is everything you could want and more in a doctor,Columbia University Fertility,dr forman want doctor
144, He was professional and informative but also explained everything in language that we could understand,Columbia University Fertility,professional informative explain language understand
145, He was positive and reassuring and was ALWAYS available to answer any and all questions,Columbia University Fertility,positive reassure available answer question
146, I felt bad emailing him on the weekends because I knew that he would answer within hours and I did not want to take him away from his family,Columbia University Fertility,feel bad email weekend know answer hour want away family
147, Dr Forman checked in with the office and emailed me while on his vacation to tell me that my blood test results were positive and that the IVF round was successful,Columbia University Fertility,dr forman check office email vacation tell blood test result positive ivf round successful
148, This communication is above and beyond and the whole team at Columbia never made me feel like there was a silly or stupid question,Columbia University Fertility,communication team columbia feel like silly stupid question
149," Being a teacher, the monitoring hours worked for me and they were able to accommodate me by giving me one of the first appointments",Columbia University Fertility,teacher monitor hour work able accommodate give appointment
150, There were some days that I waited longer than usual to be seen but it did not happen often,Columbia University Fertility,day wait long usual see happen
151," While there are many women that go through their offices every day, every doctor and nurse cares about the individual patient",Columbia University Fertility,woman office day doctor nurse care individual patient
152," Over the course of my journey, I got to know the staff so well that I felt sad leaving to my regular obgyn",Columbia University Fertility,course journey get know staff feel sad leave regular obgyn
153, I continued my pregnancy with Columbia doctors and continued to have a great experience,Columbia University Fertility,continue pregnancy columbia doctor continue great experience
154, I have recommended Columbia fertility to many people and we are eternally grateful for everything they have done for us,Columbia University Fertility,recommend columbia fertility people eternally grateful
155,Dr Rachel McConnell is an outstanding physician,Columbia University Fertility,dr rachel mcconnell outstanding physician
156, She gives you hope and leaves you feeling confident in her capable and caring hands,Columbia University Fertility,give hope leave feel confident capable care hand
157," We have our family thanks to her!! The new Westchester location is beautiful, state of the art, and conveniently located",Columbia University Fertility,family thank new westchester location beautiful state art conveniently locate
158, And the staff are equally as caring and helpful,Columbia University Fertility,staff equally care helpful
159, We are forever grateful for their help in growing our family!,Columbia University Fertility,forever grateful help grow family
160,"We came to Columbia after reading the positive reviews on Fertility IQ, particularly for Dr Forman",Columbia University Fertility,come columbia read positive review fertility iq particularly dr forman
161, The reviews have proven to be spot on,Columbia University Fertility,review prove spot
162," Dr Forman is caring and highly communicative (no other doctor has ever emailed me to keep me informed at each stage), and really takes all the delicate factors (labs, insurance, age, etc",Columbia University Fertility,dr forman care highly communicative doctor email inform stage take delicate factor lab insurance age etc
163,) of a patient's unique profile into consideration,Columbia University Fertility,patient unique profile consideration
164," The Columbia team as a whole has been wonderful - from the front desk, to the nurses, to the staff who coordinate medications, everyone has been professional and sensitive, and things have moved along seamlessly",Columbia University Fertility,columbia team wonderful desk nurse staff coordinate medication professional sensitive thing move seamlessly
165," Infertility is physically and emotionally draining, but my husband and I have been able to relax somewhat knowing that they have everything under control here",Columbia University Fertility,infertility physically emotionally drain husband able relax somewhat know control
166,I cannot say enough great things about this practice,Columbia University Fertility,great thing practice
167, I had a wonderful experience at Columbia Fertility from consultation to conception,Columbia University Fertility,wonderful experience columbia fertility consultation conception
168," As a high risk patient, I was very nervous about finding the right doctor who understood my condition and I had the extremely good fortune of being connected with Dr Brady who could not have been more caring and thorough",Columbia University Fertility,high risk patient nervous find right doctor understand condition extremely good fortune connect dr brady care thorough
169," She is *extremely* knowledgeable, answered all of my questions, and has a very comforting bedside manner which is so important",Columbia University Fertility,extremely knowledgeable answer question comfort bedside manner important
170, Me and my husband both felt confident that we were in the best hands possible,Columbia University Fertility,husband feel confident well hand possible
171," The office staff, nurses, care coordinators -- they are all so kind and attentive (and the office itself is very relaxing + clean",Columbia University Fertility,office staff nurse care coordinator kind attentive office relax clean
172,Loved all the staff at Columbia University Fertility,Columbia University Fertility,loved staff columbia university fertility
173, They were very helpful and compassionate,Columbia University Fertility,helpful compassionate
174," From the very first step of receiving information to the end of my process, Dr Brady along with her team, Sherry and Varda, truly made me feel very comfortable and made the journey much easier",Columbia University Fertility,step receive information end process dr brady team sherry varda truly feel comfortable journey easy
175,I am extremely happy with this center,Columbia University Fertility,extremely happy center
176,  The staff are always courteous and Dr Paula Brady is amazing,Columbia University Fertility,staff courteous dr paula brady amaze
177,  She has an excellent bedside manner and takes time to explain everything with her patients,Columbia University Fertility,excellent bedside manner take time explain patient
178,  I went for a routine visit and had a general question and she went through the history of my chart to respond in a way that was suited for my individual program,Columbia University Fertility,go routine visit general question go history chart respond way suit individual program
179,  She really seems to care about her patients and makes sure to go beyond to make sure you are comfortable throughout the entire process,Columbia University Fertility,care patient make sure sure comfortable entire process
180,"  I have been to 3 different centers and this is by far the most thorough, most courteous, caring and treats each patient as though you are their only patient",Columbia University Fertility,3 different center far thorough courteous care treat patient patient
181,"They have attempted to re-brand themselves with a new office and new Yelp page, but this is the same old crappy CWRC with a new name",Columbia University Fertility,attempt brand new office new yelp page old crappy cwrc new
182," After leaving this agency, I went to New Hope Fertility Center and I'm finally pregnant",Columbia University Fertility,leave agency go new hope fertility center finally pregnant
183," I went to Columbia in July 2018, paid over $13K up front for a cycle that ended up not working, and fast forward to Dec 2018/Jan 2019 and I'm still receiving bills from them! It seems like Columbia is trying to double dip! They collected my money up front, and then tried to bill my insurance too",Columbia University Fertility,go columbia july 2018 pay 13 k cycle end work fast forward dec 2018 jan 2019 receive bill like columbia try double dip collect money try bill insurance
184," On top of  trying to charge me for monitoring services that I previously paid for before the start of the cycle, they are trying to charge me $1200 for frozen embryos that aren't even normal",Columbia University Fertility,try charge monitor service previously pay start cycle try charge 1200 freeze embryo normal
185, Just got off the phone with their billing person and he couldn't even explain why I was receiving bills and told me to call the fixer or customer service person at Columbia,Columbia University Fertility,get phone bill person explain receive bill tell fixer customer service person columbia
186," Of course, no one answered the phone upon me calling",Columbia University Fertility,course answer phone call
187, I don't blame Columbia for my cycle not working,Columbia University Fertility,blame columbia cycle work
188, Maybe it just wasn't my month,Columbia University Fertility,maybe month
189," But, I do blame them for not having their billing situation together",Columbia University Fertility,blame have bill situation
190, I don't need any stress in my life during this pregnancy,Columbia University Fertility,need stress life pregnancy
191," Yet, every time I see a false bill from them my stress level goes up",Columbia University Fertility,time false bill stress level go
192, It's really not acceptable,Columbia University Fertility,acceptable
193,I went to this office for the first time mainly due to seeing Jen the pheblemist in the elevator,Columbia University Fertility,go office time mainly see jen pheblemist elevator
194, She expressed to me come up to the penthouse and check it out,Columbia University Fertility,express come penthouse check
195, I am so happy thus far I did,Columbia University Fertility,happy far
196, Also the front desk is so professional and resourceful,Columbia University Fertility,desk professional resourceful
197,Jessica and Edelith was very polite and sensitive towards me knowing the reason why I am coming to see the doctor,Columbia University Fertility,jessica edelith polite sensitive know reason come doctor
198, Words cannot express my gratitude to Jen,Columbia University Fertility,words express gratitude jen
199,Dr Forman was one of the best doctors I've every encountered in my life,Columbia University Fertility,dr forman well doctor encounter life
200," Incredibly knowledgeable, attentive and warm",Columbia University Fertility,incredibly knowledgeable attentive warm
201,I've been a patient here for about a year and can't say enough good things,Columbia University Fertility,patient year good thing
202, Dr Forman is the best Doctor,Columbia University Fertility,dr forman well doctor
203,"  He's pragmatic, kind,compassionate, so responsive, and super on top of everything",Columbia University Fertility,pragmatic kind compassionate responsive super
204, Every person that works here is truly wonderful,Columbia University Fertility,person work truly wonderful
205, The people at the reception desk are amazing,Columbia University Fertility,people reception desk amaze
206, The wait is minimal if at all,Columbia University Fertility,wait minimal
207, They really try to get you in and out as easily as possible,Columbia University Fertility,try easily possible
208, Jenny who takes your blood is so kind and skilled and such a pleasure,Columbia University Fertility,jenny take blood kind skilled pleasure
209, The nurses are great,Columbia University Fertility,nurse great
210, I will be forever grateful to all of these people for everything they've done for me,Columbia University Fertility,forever grateful people
211,I would like to recommend Dr Rogerio Lobo as he is one of the most polite and patient doctor that I have come across,Columbia University Fertility,like recommend dr rogerio lobo polite patient doctor come
212, He is also very knowledgeable and would not simply just recommend any invasive procedures,Columbia University Fertility,knowledgeable simply recommend invasive procedure
213, He listens very well to his patient's needs and provide sound advice,Columbia University Fertility,listen patient need provide sound advice
214," I just had my baby girl and if it wasn't for his advice and care, I would not have gone thru some of the challenges and have our beautiful daughter",Columbia University Fertility,baby girl advice care go challenge beautiful daughter
215, Thank you Dr Lobo!,Columbia University Fertility,thank dr lobo
216,Dr Forman listened to my concerns and is very good with first time IVF patients,Columbia University Fertility,dr forman listen concern good time ivf patient
217, Nothing was too small for his attention and he's always doing his best for you,Columbia University Fertility,small attention well
218, He consistently went above and beyond for me the entire time I was in his care,Columbia University Fertility,consistently go entire time care
219, A perfect example of this was when I had expressed how much I wanted him to perform the actual IVF procedure rather than another doctor from the clinic,Columbia University Fertility,perfect example express want perform actual ivf procedure doctor clinic
220," The day of the procedure, it wasn't guaranteed that he could make it but he rushed to the clinic and made it happen",Columbia University Fertility,day procedure guarantee rush clinic happen
221, I actually teared up when I saw him,Columbia University Fertility,actually teared see
222, These things mean the world to women who have no control over their bad fortune,Columbia University Fertility,thing mean world woman control bad fortune
223,He and his team understood that these things mattered and what a difference it makes when your concerns are taken seriously,Columbia University Fertility,team understand thing matter difference make concern take seriously
224, Even the front desk and nurses who draw blood exhibited the same standard of care,Columbia University Fertility,desk nurse draw blood exhibit standard care
225," Peri, the Egg Donor Program Coordinator, is especially great",Columbia University Fertility,peri egg donor program coordinator especially great
226, She was incredibly helpful and reliable,Columbia University Fertility,incredibly helpful reliable
227,I can't recommend Columbia University Fertility Center enough,Columbia University Fertility,recommend columbia university fertility center
228,"Dr Williams is the most amazing Dr He is kind, caring and compassionate",Columbia University Fertility,dr williams amaze dr kind care compassionate
229, I would highly recommend him and his practice,Columbia University Fertility,highly recommend practice
230,Everybody is very kind and caring,Columbia University Fertility,everybody kind care
231, They are very attentive and available when you need them,Columbia University Fertility,attentive available need
232,He takes his time getting to know you and your needs,Columbia University Fertility,take time get know need
233,We have partnered with Dr Rachel McConnell and so beyond happy with her,Columbia University Fertility,partner dr rachel mcconnell happy
234, She was so patient and  answered all of our questions in detail and thoughtfully always,Columbia University Fertility,patient answer question detail thoughtfully
235, She paid attention to my bloodwork and scans and was spot on and made sure my protocol fit me,Columbia University Fertility,pay attention bloodwork scan spot sure protocol fit
236, After less than a yr with her we are finally pregnant and graduated from the facility,Columbia University Fertility,yr finally pregnant graduate facility
237, It was bittersweet and felt strange as we have bonded and felt at home with everyone,Columbia University Fertility,bittersweet feel strange bond feel home
238, Her staff In Scarsdale and the city were just the best,Columbia University Fertility,staff scarsdale city well
239, They always made sure they called/emailed me with any information and results and were very sympathetic,Columbia University Fertility,sure call email information result sympathetic
240, I mean from Antoinette from billing to Katrina and Nicole were just always on point,Columbia University Fertility,mean antoinette bill katrina nicole point
241," I never felt like just the ""next"" patient but truly like they cared",Columbia University Fertility,feel like patient truly like care
242, The morning monitoring was always so prompt in both offices as well,Columbia University Fertility,morning monitor prompt office
243, They truly made the experience better as tough as this is experience is,Columbia University Fertility,truly experience well tough experience
244, I could go on and on but honestly Dr McConnell was simply the best and so knowledgeable especially with any ideas I brought to her attention,Columbia University Fertility,honestly dr mcconnell simply well knowledgeable especially idea bring attention
245, Thank you and I hope to see everyone with my double rainbow baby,Columbia University Fertility,thank hope double rainbow baby
