,PrevClinName1,ClinCityCode,ClinStateCode,Year,ICSI_Rate,PGD_Rate,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,TotNumCyclesAll,TransFrozEmbAll,ClinicNames
37,REPRODUCTIVE PARTNERS–UCSD REGIONAL FERTILITY CENTER,LA JOLLA,CALIFORNIA,2008.0,85.0,6.0,49.03333333333333,44.25263157894737,33.86666666666667,6.9,281.0,15.658362989323843,REPRODUCTIVE PARTNERS–UCSD REGIONAL FERTILITY CENTER LA JOLLA
40,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA LINDA,CALIFORNIA,2008.0,83.0,3.0,24.2,23.35,24.06666666666667,8.333333333333334,154.0,12.337662337662337,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF LOMA LINDA
41,CALIFORNIA FERTILITY PARTNERS,LOS ANGELES,CALIFORNIA,2008.0,65.0,4.0,21.0,14.427777777777777,17.314285714285713,19.886363636363637,408.0,16.666666666666668,CALIFORNIA FERTILITY PARTNERS LOS ANGELES
44,PACIFIC FERTILITY CENTER–LOS ANGELES,LOS ANGELES,CALIFORNIA,2008.0,84.0,8.0,35.2,36.66666666666667,41.2,,157.0,9.554140127388536,CHA FERTILITY CENTER LOS ANGELES
46,USC REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,LOS ANGELES,CALIFORNIA,2008.0,73.0,4.0,24.45,29.357894736842105,30.135714285714286,11.525,241.0,29.04564315352697,USC REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY LOS ANGELES
49,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,CALIFORNIA,2008.0,91.0,2.0,35.7,35.45789473684211,16.116666666666667,5.55,348.0,23.563218390804597,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE NEWPORT BEACH
51,NOVA IN VITRO FERTILIZATION,PALO ALTO,CALIFORNIA,2008.0,48.0,9.0,26.13235294117647,29.2,18.596153846153847,22.916666666666668,207.0,26.570048309178745,NOVA IN VITRO FERTILIZATION PALO ALTO
52,STANFORD UNIVERSITY IVF/ART PROGRAM,PALO ALTO,CALIFORNIA,2008.0,52.0,6.0,30.950000000000003,27.9,18.55,17.55,876.0,21.118721461187214,STANFORD UNIVERSITY IVF/ART PROGRAM PALO ALTO
53,HUNTINGTON REPRODUCTIVE CENTER,PASADENA,CALIFORNIA,2008.0,71.0,13.0,35.0,28.45,23.55,20.9,2008.0,14.591633466135459,HUNTINGTON REPRODUCTIVE CENTER PASADENA
55,REPRODUCTIVE PARTNERS–REDONDO BEACH,REDONDO BEACH,CALIFORNIA,2008.0,60.0,3.0,41.0,32.1,27.884615384615387,19.25,395.0,21.0126582278481,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER REDONDO BEACH"
56,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,2008.0,50.0,1.0,40.849999999999994,32.849999999999994,24.95,19.44090909090909,514.0,25.09727626459144,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER ROSEVILLE
57,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH–SACRAMENTO,SACRAMENTO,CALIFORNIA,2008.0,58.0,0.0,48.33333333333333,23.183333333333334,36.111111111111114,,159.0,16.9811320754717,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-FREMONT FREMONT
62,SAN DIEGO FERTILITY CENTER,SAN DIEGO,CALIFORNIA,2008.0,91.0,2.0,53.0,48.2,44.65294117647059,23.31666666666667,313.0,23.322683706070286,REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO LA JOLLA
64,PACIFIC FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,2008.0,40.0,7.0,37.3,31.200000000000003,26.65,13.149999999999999,928.0,19.288793103448278,PACIFIC FERTILITY CENTER SAN FRANCISCO
65,UCSF CENTER FOR REPRODUCTIVE HEALTH,SAN FRANCISCO,CALIFORNIA,2008.0,66.0,3.0,33.25,30.25,24.45,18.5,887.0,21.758737316798197,UCSF CENTER FOR REPRODUCTIVE HEALTH SAN FRANCISCO
66,FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,SAN JOSE,CALIFORNIA,2008.0,76.0,1.0,34.7,30.85,20.950000000000003,25.21666666666667,453.0,24.282560706401767,FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA SAN JOSE
67,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON,CALIFORNIA,2008.0,43.0,2.0,39.4,34.849999999999994,28.0,14.592307692307692,810.0,28.14814814814815,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA SAN RAMON
69,"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC.",SANTA ROSA,CALIFORNIA,2008.0,79.0,0.0,44.55,38.71666666666667,38.4,7.894736842105263,187.0,27.272727272727273,"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC. SANTA ROSA"
71,THE CENTER FOR FERTILITY AND GYNECOLOGY,TARZANA,CALIFORNIA,2008.0,83.0,5.0,50.31666666666666,35.61666666666667,38.62692307692308,23.1,271.0,16.605166051660518,THE CENTER FOR FERTILITY AND GYNECOLOGY TARZANA
73,PACIFIC REPRODUCTIVE CENTER,TORRANCE,CALIFORNIA,2008.0,97.0,3.0,45.65,32.56666666666667,12.05,4.55,463.0,3.239740820734341,PACIFIC REPRODUCTIVE CENTER TORRANCE
76,REPRODUCTIVE PARTNERS–WESTMINSTER,WESTMINSTER,CALIFORNIA,2008.0,56.0,2.0,34.1,27.364285714285714,16.8,4.55,222.0,20.27027027027027,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER REDONDO BEACH"
78,REPRODUCTIVE MEDICINE AND FERTILITY CENTER,COLORADO SPRINGS,COLORADO,2008.0,91.0,3.0,32.2,8.942857142857143,5.2631578947368425,,182.0,18.681318681318682,REPRODUCTIVE MEDICINE AND FERTILITY CENTER COLORADO SPRINGS
80,COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,2008.0,35.0,1.0,22.2,14.857894736842104,1.8,0.0,168.0,21.428571428571427,COLORADO REPRODUCTIVE ENDOCRINOLOGY DENVER
81,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,ENGLEWOOD,COLORADO,2008.0,81.0,7.0,61.1,52.150000000000006,43.75,30.900000000000002,1041.0,32.468780019212296,COLORADO CENTER FOR REPRODUCTIVE MEDICINE ENGLEWOOD
83,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO,LITTLETON,COLORADO,2008.0,59.0,1.0,40.64090909090909,34.3,15.1,7.5,284.0,11.619718309859154,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO LITTLETON
84,CONNECTICUT FERTILITY ASSOCIATES,BRIDGEPORT,CONNECTICUT,2008.0,53.0,9.0,39.83823529411765,33.05,16.2,21.92982456140351,263.0,18.250950570342205,CONNECTICUT FERTILITY ASSOCIATES BRIDGEPORT
85,THE CENTER FOR ADVANCED REPRODUCTIVE SERVICES,FARMINGTON,CONNECTICUT,2008.0,70.0,2.0,43.25,29.65,37.95,48.766666666666666,1228.0,17.18241042345277,CENTER FOR ADVANCED REPRODUCTIVE SERVICES FARMINGTON
86,YALE FERTILITY CENTER,NEW HAVEN,CONNECTICUT,2008.0,44.0,2.0,40.93076923076923,35.628571428571426,25.06666666666667,25.0,415.0,9.156626506024097,YALE FERTILITY CENTER NEW HAVEN
87,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,NORWALK,CONNECTICUT,2008.0,51.0,4.0,39.49444444444444,25.78846153846154,19.045454545454547,10.85,554.0,7.76173285198556,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT NORWALK
88,NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,2008.0,67.0,6.0,36.6,26.4,30.639473684210525,21.21666666666667,310.0,30.0,NEW ENGLAND FERTILITY INSTITUTE STAMFORD
90,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,TRUMBULL,CONNECTICUT,2008.0,76.0,7.0,30.25,21.683333333333334,20.85,,205.0,12.682926829268293,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE TRUMBULL
91,THE DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE,NEWARK,DELAWARE,2008.0,80.0,7.0,28.1,10.0,5.15,,173.0,9.826589595375722,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA NEWARK"
92,REPRODUCTIVE ASSOCIATES OF DELAWARE,NEWARK,DELAWARE,2008.0,81.0,3.0,46.900000000000006,45.650000000000006,23.7,11.805555555555555,321.0,36.137071651090345,REPRODUCTIVE ASSOCIATES OF DELAWARE NEWARK
93,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",WASHINGTON,DISTRICT OF COLUMBIA,2008.0,71.0,0.0,35.825,27.06666666666667,24.71666666666667,7.5,454.0,7.2687224669603525,"THE A.R.T. INSTITUTE OF WASHINGTON, INC. BETHESDA"
94,COLUMBIA FERTILITY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2008.0,57.0,2.0,37.7,25.05,22.084615384615386,13.85,527.0,13.472485768500949,COLUMBIA FERTILITY ASSOCIATES WASHINGTON
95,THE GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,2008.0,86.0,11.0,25.392857142857142,17.933333333333334,18.692307692307693,7.75,266.0,17.669172932330827,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES WASHINGTON
100,FLORIDA FERTILITY INSTITUTE,CLEARWATER,FLORIDA,2008.0,73.0,2.0,13.15,,9.1,,204.0,2.450980392156863,FLORIDA FERTILITY INSTITUTE CLEARWATER
106,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2008.0,71.0,2.0,42.55,24.75,25.35,13.88888888888889,778.0,34.19023136246787,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE JACKSONVILLE
107,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,2008.0,31.0,0.0,18.05,15.855555555555556,9.7,50.0,153.0,14.379084967320262,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE JACKSONVILLE
110,IVF FLORIDA,MARGATE,FLORIDA,2008.0,59.0,1.0,44.45,27.6,23.55,19.385714285714286,777.0,14.671814671814673,IVF FLORIDA REPRODUCTIVE ASSOCIATES MARGATE
112,"FERTILITY & IVF CENTER OF MIAMI, INC.",MIAMI,FLORIDA,2008.0,88.0,7.0,52.599999999999994,31.75,28.65,17.15,505.0,20.396039603960396,"FERTILITY & IVF CENTER OF MIAMI, INC. MIAMI"
115,"CENTER FOR REPRODUCTIVE MEDICINE, PA",ORLANDO,FLORIDA,2008.0,49.0,2.0,22.1,32.41666666666667,19.15,4.55,438.0,11.415525114155251,"CENTER FOR REPRODUCTIVE MEDICINE, PA ORLANDO"
120,SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,SOUTH MIAMI,FLORIDA,2008.0,69.0,2.0,37.55,34.45,29.45,5.8,507.0,15.187376725838265,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE SOUTH MIAMI
122,THE REPRODUCTIVE MEDICINE GROUP,TAMPA,FLORIDA,2008.0,45.0,1.0,35.75,23.792307692307695,21.45,34.1,536.0,7.835820895522388,THE REPRODUCTIVE MEDICINE GROUP TAMPA
125,FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,WINTER PARK,FLORIDA,2008.0,54.0,2.0,17.15,18.983333333333334,11.7,2.6315789473684212,187.0,11.764705882352942,FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY WINTER PARK
126,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,ATLANTA,GEORGIA,2008.0,76.0,1.0,45.900000000000006,28.2,20.85,5.35,575.0,16.17391304347826,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE ATLANTA
127,EMORY REPRODUCTIVE CENTER,ATLANTA,GEORGIA,2008.0,66.0,0.0,40.736363636363635,31.695454545454545,33.92857142857143,,166.0,17.46987951807229,EMORY REPRODUCTIVE CENTER ATLANTA
128,"GEORGIA REPRODUCTIVE SPECIALISTS, LLC",ATLANTA,GEORGIA,2008.0,48.0,6.0,34.75,26.794736842105262,30.700000000000003,3.5714285714285716,380.0,30.0,"GEORGIA REPRODUCTIVE SPECIALISTS, LLC ATLANTA"
129,REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,GEORGIA,2008.0,87.0,9.0,44.8,41.150000000000006,27.9,9.396153846153846,959.0,27.94577685088634,REPRODUCTIVE BIOLOGY ASSOCIATES ATLANTA
134,GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,SAVANNAH,GEORGIA,2008.0,25.0,2.0,39.4,29.034615384615385,31.954887218045112,22.5,152.0,34.21052631578947,THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE SAVANNAH
138,PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,2008.0,57.0,1.0,31.2,29.8,40.075,9.955555555555556,351.0,21.65242165242165,PACIFIC IN VITRO FERTILIZATION INSTITUTE HONOLULU
140,IDAHO CENTER FOR REPRODUCTIVE MEDICINE,BOISE,IDAHO,2008.0,56.0,3.0,37.7,25.014285714285712,17.090909090909093,17.142857142857142,313.0,30.990415335463258,IDAHO CENTER FOR REPRODUCTIVE MEDICINE BOISE
143,CENTER FOR REPRODUCTIVE MEDICINE & FERTILITY,CHICAGO,ILLINOIS,2008.0,48.0,1.0,35.2,31.65,30.7,2.0,190.0,20.0,CENTER FOR REPRODUCTIVE CARE CHICAGO
144,INSTITUTE FOR HUMAN REPRODUCTION (IHR),CHICAGO,ILLINOIS,2008.0,94.0,58.0,29.45,15.4,16.25,17.25,221.0,24.8868778280543,INSTITUTE FOR HUMAN REPRODUCTION (IHR) CHICAGO
145,NORTHWESTERN UNIVERSITY,CHICAGO,ILLINOIS,2008.0,72.0,0.0,39.900000000000006,29.95,27.0,17.7,539.0,18.923933209647494,NORTHWESTERN UNIVERSITY CHICAGO
146,RIVER NORTH IVF–FERTILITY CENTERS OF ILLINOIS,CHICAGO,ILLINOIS,2008.0,82.0,3.0,35.2,26.35,21.8,19.139473684210525,2374.0,17.607413647851725,FERTILITY CENTERS OF ILLINOIS-RIVER NORTH IVF CHICAGO
151,THE RINEHART CENTER FOR REPRODUCTIVE MEDICINE,EVANSTON,ILLINOIS,2008.0,84.0,1.0,33.2,20.0,8.75,12.5,235.0,18.29787234042553,THE RINEHART CENTER FOR REPRODUCTIVE MEDICINE EVANSTON
153,ADVANCED FERTILITY CENTER OF CHICAGO,GURNEE,ILLINOIS,2008.0,72.0,0.0,49.5,31.5,31.3,2.6315789473684212,365.0,9.58904109589041,ADVANCED FERTILITY CENTER OF CHICAGO GURNEE
155,HIGHLAND PARK IVF CENTER,HIGHLAND PARK,ILLINOIS,2008.0,83.0,10.0,39.650000000000006,21.85,24.2,18.385714285714286,1693.0,14.057885410513881,FERTILITY CENTERS OF ILLINOIS-HIGHLAND PARK IVF CENTER HIGHLAND PARK
158,"KARANDE AND ASSOCIATES, SC",HOFFMAN ESTATES,ILLINOIS,2008.0,81.0,3.0,47.65,16.72142857142857,28.116666666666667,5.555555555555555,323.0,11.764705882352942,"KARANDE AND ASSOCIATES, SC HOFFMAN ESTATES"
160,THE FERTILITY INSTITUTE AT EDWARD,NAPERVILLE,ILLINOIS,2008.0,90.0,3.0,47.900000000000006,43.2,19.2,3.85,309.0,14.88673139158576,THE FERTILITY INSTITUTE AT EDWARD NAPERVILLE
161,IVF1,NAPERVILLE,ILLINOIS,2008.0,94.0,25.0,33.4,35.05,20.714285714285715,66.66666666666667,378.0,28.04232804232804,IVF1 NAPERVILLE
162,OAK BROOK FERTILITY CENTER,OAK BROOK,ILLINOIS,2008.0,88.0,4.0,47.650000000000006,43.83571428571429,39.21568627450981,0.0,155.0,34.193548387096776,OAK BROOK FERTILITY CENTER OAK BROOK
165,"NORTH SHORE FERTILITY, SC",SKOKIE,ILLINOIS,2008.0,92.0,28.0,17.0,29.522222222222222,3.5,5.2631578947368425,214.0,16.35514018691589,NORTH SHORE FERTILITY SKOKIE
169,JARRETT FERTILITY GROUP,CARMEL,INDIANA,2008.0,68.0,1.0,31.1,30.96666666666667,34.378571428571426,20.23809523809524,373.0,15.013404825737265,JARRETT FERTILITY GROUP CARMEL
170,MIDWEST FERTILITY SPECIALISTS,CARMEL,INDIANA,2008.0,79.0,2.0,28.549999999999997,21.0,21.416666666666668,24.305555555555557,490.0,30.0,MIDWEST FERTILITY SPECIALISTS CARMEL
177,"MID-IOWA FERTILITY, PC",CLIVE,IOWA,2008.0,79.0,1.0,41.55,24.75,20.81666666666667,30.555555555555557,377.0,17.50663129973475,"MID-IOWA FERTILITY, PC CLIVE"
178,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,2008.0,44.0,1.0,46.55,42.5,34.37692307692308,15.0,415.0,30.120481927710845,UNIVERSITY OF IOWA HOSPITALS AND CLINICS IOWA CITY
181,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,2008.0,85.0,9.0,49.75,34.33846153846154,37.13181818181818,,359.0,20.33426183844011,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY OVERLAND PARK
183,THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,KANSAS,2008.0,56.0,0.0,31.299999999999997,20.95,32.06666666666667,0.0,193.0,19.689119170984455,THE CENTER FOR REPRODUCTIVE MEDICINE WICHITA
184,BLUEGRASS FERTILITY CENTER,LEXINGTON,KENTUCKY,2008.0,78.0,1.0,18.3,38.65,63.63636363636364,,157.0,12.101910828025478,BLUEGRASS FERTILITY CENTER LEXINGTON
185,FERTILITY AND ENDOCRINE ASSOCIATES,LOUISVILLE,KENTUCKY,2008.0,76.0,0.0,27.5,24.03846153846154,8.333333333333334,0.0,158.0,43.67088607594937,FERTILITY AND ENDOCRINE ASSOCIATES LOUISVILLE
186,UNIVERSITY OB/GYN ASSOCIATES FERTILITY CENTER,LOUISVILLE,KENTUCKY,2008.0,54.0,1.0,37.75,55.05,7.15,,190.0,14.210526315789474,UNIVERSITY OB/GYN ASSOCIATES FERTILITY CENTER LOUISVILLE
190,THE FERTILITY INSTITUTE OF NEW ORLEANS,METAIRIE,LOUISIANA,2008.0,44.0,7.0,32.5,18.32777777777778,13.4,4.75,385.0,16.883116883116884,THE FERTILITY INSTITUTE OF NEW ORLEANS METAIRIE
193,SHADY GROVE FERTILITY RSC AT GBMC,BALTIMORE,MARYLAND,2008.0,56.0,0.0,31.799999999999997,29.91428571428571,22.8,20.85,469.0,15.778251599147122,SHADY GROVE FERTILITY RSC AT GBMC BALTIMORE
195,JOHNS HOPKINS FERTILITY CENTER,LUTHERVILLE,MARYLAND,2008.0,34.0,0.0,25.45,13.245454545454546,17.733333333333334,17.985714285714288,248.0,18.548387096774192,JOHNS HOPKINS FERTILITY CENTER LUTHERVILLE
196,SHADY GROVE FERTILITY REPRODUCTIVE SCIENCE CENTER,ROCKVILLE,MARYLAND,2008.0,51.0,4.0,37.25,30.450000000000003,21.450000000000003,17.7,4194.0,13.01859799713877,SHADY GROVE FERTILITY-ROCKVILLE ROCKVILLE
197,FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,2008.0,28.0,0.0,40.25,29.738461538461536,27.616666666666667,7.5,257.0,23.346303501945524,FERTILITY CENTER OF MARYLAND TOWSON
198,BRIGHAM AND WOMEN'S HOSPITAL ART CENTER,BOSTON,MASSACHUSETTS,2008.0,37.0,3.0,40.400000000000006,35.65,22.85,31.17222222222222,1509.0,12.789927104042413,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY BOSTON
199,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,BOSTON,MASSACHUSETTS,2008.0,56.0,2.0,42.35,37.6,42.3,8.95,502.0,17.529880478087648,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER BOSTON
201,REPRODUCTIVE SCIENCE CENTER,LEXINGTON,MASSACHUSETTS,2008.0,44.0,1.0,31.650000000000002,32.0,25.85,13.275,2219.0,12.933753943217665,REPRODUCTIVE SCIENCE CENTER LEXINGTON
202,"FERTILITY CENTERS OF NEW ENGLAND, INC.",READING,MASSACHUSETTS,2008.0,51.0,4.0,29.1,27.5,15.4,21.2,696.0,16.235632183908045,"FERTILITY CENTERS OF NEW ENGLAND, INC. READING"
203,BAYSTATE REPRODUCTIVE MEDICINE,SPRINGFIELD,MASSACHUSETTS,2008.0,46.0,0.0,34.85,28.85,22.25,18.4,456.0,21.271929824561404,BAYSTATE REPRODUCTIVE MEDICINE SPRINGFIELD
205,BOSTON IVF,WALTHAM,MASSACHUSETTS,2008.0,42.0,5.0,25.95,22.75,17.95,17.66470588235294,2470.0,10.850202429149798,"BOSTON IVF, LLC WALTHAM"
209,MICHIGAN COMPREHENSIVE FERTILITY CENTER,DEARBORN,MICHIGAN,2008.0,69.0,0.0,20.7,5.15,8.1,,201.0,13.432835820895523,MICHIGAN COMPREHENSIVE FERTILITY CENTER DEARBORN
211,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",GRAND RAPIDS,MICHIGAN,2008.0,90.0,0.0,47.35,40.25,33.375,4.55,577.0,33.795493934142115,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC GRAND RAPIDS"
214,IVF MICHIGAN,ROCHESTER HILLS,MICHIGAN,2008.0,86.0,8.0,44.150000000000006,34.1,25.1,2.75,1055.0,15.450236966824644,"IVF MICHIGAN ROCHESTER HILLS & FLINT, PC ROCHESTER HILLS"
218,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,TROY,MICHIGAN,2008.0,68.0,2.0,36.6,27.5,8.55,4.545454545454546,235.0,7.659574468085107,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN TROY
220,"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",MAPLE GROVE,MINNESOTA,2008.0,33.0,1.0,40.45,33.94444444444444,20.512820512820515,16.666666666666668,204.0,40.68627450980392,"MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA MAPLE GROVE"
221,CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,MINNESOTA,2008.0,58.0,2.0,51.9,39.8,31.116666666666667,8.35,725.0,10.758620689655173,CENTER FOR REPRODUCTIVE MEDICINE MINNEAPOLIS
222,REPRODUCTIVE MEDICINE CENTER,MINNEAPOLIS,MINNESOTA,2008.0,75.0,0.0,40.75,35.0,14.7,,313.0,12.140575079872205,CENTER FOR REPRODUCTIVE MEDICINE MINNEAPOLIS
