,PrevClinName1,ClinCityCode,Year,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,TotCycles,TotFrozTrans,AvgCancel,AvgFreshBR,AvgFrozenBR,AvgNumFrshEmbry,AvgNumThwEmbry
13,GARFIELD FERTILITY CENTER,ALHAMBRA ,2000.0,17.0,3,11,5,29.41176470588235,66.66666666666667,27.272727272727273,60.0,11.764705882352942,0.0,9.090909090909092,20.0,0.0,0.0,0.0,0.0,2.0,3,0,0,17.0,4.0,4.0,4.0,0.0,26.0,4.0,3.4,3.3,3.6,4.5,0.0,0.0,0.0,0.0,36.0,5.0,10.213903743315509,45.83778966131907,0.0,3.6999999999999997,0.0
14,"GIL N. MILEIKOWSKY, M.D.",BEL AIR    ,2000.0,3.0,5,3,3,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2,0,0,4.0,0.0,0.0,4.0,9.0,4.0,22.0,3.0,3.8,3.3,4.7,0.0,0.0,0.0,0.0,14.0,2.0,0.0,8.333333333333334,12.5,3.7,0.0
15,ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,2000.0,24.0,31,26,10,41.7,25.8,7.7,10.0,8.3,12.9,11.5,0.0,28.571428571428573,12.5,0.0,0.0,7.0,8,1,1,18.0,3.0,17.0,4.0,1.0,8.0,2.0,2.9,3.5,3.7,4.7,0.0,0.0,0.0,0.0,91.0,17.0,8.175,21.3,10.267857142857142,3.7,0.0
16,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS    ,2000.0,56.0,37,48,14,46.4,29.7,33.3,21.428571428571427,1.8,5.4,8.3,0.0,66.66666666666667,66.66666666666667,50.0,100.0,6.0,3,2,1,11.0,2.0,15.0,5.0,3.0,15.0,7.0,3.0,2.9,3.1,3.8,0.0,0.0,0.0,0.0,155.0,12.0,3.875,32.707142857142856,70.83333333333334,3.2,0.0
17,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS    ,2000.0,35.0,27,18,12,54.3,40.7,33.333333333333336,25.0,2.9,0.0,0.0,8.333333333333334,0.0,20.0,0.0,0.0,5.0,5,2,0,10.0,7.0,23.0,5.0,1.0,31.0,2.0,3.0,3.3,3.8,3.6,0.0,0.0,0.0,0.0,92.0,12.0,2.8083333333333336,38.333333333333336,5.0,3.425,0.0
18,"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",BEVERLY HILLS,2000.0,30.0,23,8,3,20.0,4.3,0.0,33.333333333333336,10.0,8.7,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,3.0,23.0,2.0,3.0,0.0,18.0,26.0,3.7,3.6,2.2,2.0,0.0,0.0,0.0,0.0,64.0,2.0,10.925,14.408333333333335,0.0,2.875,0.0
19,ZOUVES FERTILITY CENTER,DALY CITY,2000.0,94.0,80,83,32,34.0,26.3,20.5,15.6,2.1,6.3,3.6,15.6,24.0,22.22222222222222,50.0,0.0,25.0,9,8,4,8.0,3.0,10.0,11.0,1.0,19.0,9.0,3.5,4.2,4.3,4.3,0.0,0.0,0.0,0.0,289.0,46.0,6.9,24.099999999999998,24.055555555555557,4.075,0.0
20,WEST COAST FERTILITY CENTERS,FOUNTAIN VALLEY    ,2000.0,83.0,39,33,9,42.2,20.5,6.1,22.22222222222222,0.0,0.0,6.1,0.0,36.4,66.66666666666667,0.0,0.0,22.0,3,8,2,16.0,6.0,12.0,5.0,1.0,18.0,6.0,4.2,4.9,5.2,5.3,0.0,0.0,0.0,0.0,164.0,35.0,1.525,22.755555555555553,25.766666666666666,4.9,0.0
21,MARIN FERTILITY MEDICAL GROUP,GREENBRAE    ,2000.0,11.0,14,15,7,27.272727272727273,21.428571428571427,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,1.0,6,0,0,7.0,5.0,12.0,0.0,3.0,22.0,9.0,3.1,3.8,3.7,3.7,0.0,0.0,0.0,0.0,47.0,7.0,0.0,20.50865800865801,8.333333333333334,3.575,0.0
22,"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,2000.0,80.0,72,60,22,25.0,26.4,21.7,9.1,3.8,11.1,10.0,9.1,27.272727272727273,28.571428571428573,10.0,0.0,11.0,7,10,3,11.0,3.0,8.0,11.0,3.0,28.0,2.0,4.2,4.4,4.5,4.2,0.0,0.0,0.0,0.0,234.0,31.0,8.5,20.549999999999997,16.461038961038962,4.325,0.0
23,LA JOLLA IVF,LA JOLLA     ,2000.0,18.0,8,9,2,33.333333333333336,12.5,22.22222222222222,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,1,1,0,13.0,1.0,13.0,5.0,14.0,12.0,12.0,4.2,4.4,4.1,0.0,0.0,0.0,0.0,0.0,37.0,8.0,0.0,17.01388888888889,12.5,3.1750000000000003,0.0
24,REPRODUCTIVE PARTNERS--SAN DIEGO,LA JOLLA ,2000.0,43.0,40,22,17,37.2,40.0,18.2,11.764705882352942,11.6,10.0,27.3,17.647058823529413,41.666666666666664,36.36363636363637,0.0,0.0,12.0,11,5,3,12.0,6.0,1.0,7.0,5.0,18.0,9.0,2.6,3.3,3.8,3.8,0.0,0.0,0.0,0.0,122.0,31.0,16.636764705882356,26.791176470588237,19.507575757575758,3.375,0.0
25,REPRODUCTIVE SCIENCES CENTER,LA JOLLA ,2000.0,18.0,14,13,6,33.333333333333336,42.857142857142854,30.76923076923077,16.666666666666668,16.666666666666668,14.285714285714286,15.384615384615385,16.666666666666668,80.0,100.0,50.0,0.0,5.0,1,2,0,6.0,1.0,21.0,0.0,5.0,12.0,4.0,2.8,3.7,3.0,3.0,0.0,0.0,0.0,0.0,51.0,8.0,15.750915750915752,30.90659340659341,57.5,3.125,0.0
26,SCRIPPS CLINIC FERTILITY CENTER,LA JOLLA ,2000.0,33.0,19,20,17,15.2,5.2631578947368425,0.0,0.0,12.1,15.789473684210526,15.0,17.647058823529413,14.285714285714286,0.0,20.0,0.0,7.0,1,5,2,8.0,1.0,3.0,4.0,1.0,3.0,1.0,3.3,3.3,3.2,2.6,0.0,0.0,0.0,0.0,89.0,15.0,15.134133126934985,5.11578947368421,8.571428571428571,3.1,0.0
27,"JANE L. FREDERICK, M.D., INC.",LAGUNA HILLS,2000.0,9.0,5,6,1,11.11111111111111,20.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,0,0,7.0,0.0,3.0,3.0,3.0,32.0,0.0,3.2,3.8,4.0,6.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,11.944444444444445,0.0,4.25,0.0
28,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA  LINDA     ,2000.0,55.0,30,24,13,47.3,26.7,20.8,7.6923076923076925,10.9,10.0,16.7,30.76923076923077,0.0,42.857142857142854,0.0,0.0,5.0,7,2,0,22.0,1.0,2.0,4.0,1.0,21.0,1.0,3.1,3.6,3.9,3.5,0.0,0.0,0.0,0.0,122.0,14.0,17.092307692307692,25.623076923076923,10.714285714285714,3.525,0.0
29,REPRODUCTIVE PARTNERS--LONG BEACH,LONG BEACH    ,2000.0,76.0,55,73,33,32.9,29.1,20.5,9.1,18.4,18.2,21.9,33.3,23.5,20.0,0.0,12.5,34.0,15,8,8,15.0,5.0,12.0,7.0,2.0,18.0,9.0,2.9,3.4,3.9,4.5,0.0,0.0,0.0,0.0,237.0,65.0,22.949999999999996,22.9,14.0,3.675,0.0
30,UNIVERSITY OF CALIFORNIA--LOS ANGELES,LOS ANGELES    ,2000.0,33.0,29,19,19,18.2,13.8,5.2631578947368425,10.526315789473685,3.0,10.3,10.526315789473685,21.05263157894737,0.0,100.0,0.0,0.0,10.0,1,0,0,11.0,3.0,21.0,0.0,0.0,14.0,15.0,3.4,3.9,3.3,3.5,0.0,0.0,0.0,0.0,100.0,11.0,11.219736842105263,11.947368421052632,25.0,3.525,0.0
31,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES    ,2000.0,32.0,28,30,25,43.8,21.4,20.0,12.0,12.5,14.3,13.3,16.0,33.333333333333336,0.0,20.0,0.0,3.0,3,5,3,3.0,1.0,17.0,2.0,3.0,6.0,29.0,3.0,3.5,4.3,5.1,0.0,0.0,0.0,0.0,115.0,14.0,14.025,24.299999999999997,13.333333333333334,3.975,0.0
32,REPRODUCTIVE SPECIALTY MEDICAL CENTER,NEWPORT BEACH    ,2000.0,17.0,24,16,4,35.294117647058826,20.8,25.0,0.0,0.0,16.7,6.25,25.0,40.0,33.333333333333336,100.0,0.0,10.0,3,1,0,6.0,9.0,28.0,3.0,1.0,17.0,2.0,3.4,3.6,3.9,4.0,0.0,0.0,0.0,0.0,61.0,14.0,11.9875,20.273529411764706,43.333333333333336,3.725,0.0
33,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,2000.0,61.0,41,36,13,36.1,29.3,27.8,7.6923076923076925,1.6,9.8,8.3,23.076923076923077,25.0,33.333333333333336,50.0,33.333333333333336,20.0,12,6,3,13.0,2.0,16.0,7.0,1.0,19.0,4.0,3.2,3.5,3.9,3.0,0.0,0.0,0.0,0.0,151.0,41.0,10.69423076923077,25.223076923076924,35.41666666666667,3.4,0.0
34,NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,NORTHRIDGE,2000.0,43.0,22,22,7,30.2,27.3,18.2,0.0,20.9,4.5,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,12.0,1.0,13.0,7.0,2.0,14.0,3.0,3.7,3.8,3.5,4.3,0.0,0.0,0.0,0.0,94.0,1.0,9.75,18.925,0.0,3.825,0.0
35,IVF--ORANGE,ORANGE    ,2000.0,10.0,3,5,1,20.0,33.333333333333336,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,15.0,0.0,3.0,16.0,0.0,16.0,16.0,3.2,4.7,4.8,3.0,0.0,0.0,0.0,0.0,19.0,4.0,2.5,18.333333333333336,0.0,3.925,0.0
36,"SUSAN P. WILLMAN, M.D.",ORINDA ,2000.0,32.0,24,30,12,25.0,33.3,26.7,16.666666666666668,3.1,8.3,10.0,8.333333333333334,0.0,33.333333333333336,0.0,0.0,2.0,3,2,1,7.0,2.0,13.0,5.0,5.0,14.0,5.0,3.2,3.9,3.9,4.6,0.0,0.0,0.0,0.0,98.0,8.0,7.433333333333334,25.416666666666668,8.333333333333334,3.9,0.0
37,NOVA IN VITRO FERTILIZATION,PALO ALTO    ,2000.0,52.0,44,51,25,36.5,40.9,23.5,16.0,15.4,15.9,33.3,24.0,18.181818181818183,0.0,0.0,0.0,11.0,4,2,0,16.0,13.0,15.0,3.0,3.0,9.0,1.0,2.9,3.2,3.9,4.2,0.0,0.0,0.0,0.0,172.0,17.0,22.15,29.225,4.545454545454546,3.55,0.0
38,HUNTINGTON REPRODUCTIVE CENTER,PASADENA ,2000.0,287.0,172,195,83,32.8,29.1,23.1,7.2,5.6,5.2,10.3,15.7,16.7,34.8,26.31578947368421,16.666666666666668,30.0,23,19,6,11.0,2.0,16.0,5.0,4.0,12.0,16.0,3.8,3.9,4.3,3.8,0.0,0.0,0.0,0.0,737.0,78.0,9.2,23.05,23.62061403508772,3.95,0.0
39,REPRODUCTIVE PARTNERS--REDONDO BEACH,REDONDO BEACH,2000.0,55.0,48,72,21,50.9,31.3,19.4,19.0,7.3,6.3,16.7,9.5,7.142857142857143,33.333333333333336,11.764705882352942,0.0,14.0,12,17,2,7.0,1.0,0.0,1.0,0.0,11.0,27.0,2.8,3.5,4.1,5.2,0.0,0.0,0.0,0.0,196.0,45.0,9.95,30.15,13.060224089635856,3.8999999999999995,0.0
40,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,2000.0,145.0,93,89,30,41.4,39.8,25.8,3.3,4.1,2.2,13.5,26.7,12.2,16.666666666666668,0.0,0.0,41.0,18,11,0,19.0,5.0,10.0,4.0,1.0,15.0,9.0,2.7,3.1,4.1,2.8,0.0,0.0,0.0,0.0,357.0,70.0,11.625,27.574999999999996,7.216666666666667,3.175,0.0
41,UNIVERSITY OF CALIFORNIA--DAVIS,SACRAMENTO,2000.0,28.0,15,11,3,28.6,26.666666666666668,0.0,33.333333333333336,17.9,26.666666666666668,54.54545454545455,66.66666666666667,25.0,0.0,0.0,0.0,4.0,1,1,0,37.0,5.0,4.0,9.0,1.0,3.0,3.0,3.5,4.8,5.2,6.0,0.0,0.0,0.0,0.0,57.0,6.0,41.44469696969697,22.15,6.25,4.875,0.0
42,THE FERTILITY AND GYNECOLOGY CENTER,SALINAS,2000.0,24.0,16,5,5,33.3,25.0,0.0,20.0,8.3,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,4,0,2,11.0,5.0,3.0,0.0,0.0,3.0,0.0,3.4,3.1,2.8,4.3,0.0,0.0,0.0,0.0,50.0,10.0,7.075,19.575,0.0,3.4000000000000004,0.0
43,ADVANCED FERTILITY INSTITUTE,SAN DIEGO    ,2000.0,14.0,18,18,10,28.571428571428573,44.44444444444444,38.888888888888886,30.0,7.142857142857143,16.666666666666668,22.22222222222222,40.0,0.0,0.0,0.0,0.0,1.0,1,1,0,10.0,5.0,2.0,8.0,6.0,7.0,6.0,3.0,2.9,3.1,4.2,0.0,0.0,0.0,0.0,60.0,3.0,21.507936507936506,35.476190476190474,0.0,3.3,0.0
44,FERTILITY SPECIALISTS MEDICAL GROUP,SAN DIEGO,2000.0,4.0,2,3,5,0.0,0.0,33.333333333333336,0.0,0.0,0.0,66.66666666666667,60.0,0.0,0.0,0.0,0.0,1.0,0,0,0,6.0,0.0,0.0,0.0,0.0,23.0,0.0,2.5,3.0,2.0,2.5,0.0,0.0,0.0,0.0,14.0,1.0,31.666666666666668,8.333333333333334,0.0,2.5,0.0
45,IGO MEDICAL GROUP OF SAN DIEGO,SAN DIEGO,2000.0,29.0,23,28,0,41.4,26.1,10.7,0.0,0.0,21.7,3.6,0.0,0.0,0.0,0.0,0.0,8.0,0,1,0,9.0,2.0,5.0,4.0,0.0,33.0,3.0,2.5,2.7,2.8,0.0,0.0,0.0,0.0,0.0,80.0,9.0,6.325,19.55,0.0,2.0,0.0
46,INFERTILITY CLINIC,SAN DIEGO,2000.0,77.0,26,30,9,23.4,34.6,10.0,0.0,15.6,11.5,23.3,11.11111111111111,13.333333333333334,0.0,0.0,0.0,15.0,5,4,1,42.0,1.0,0.0,2.0,0.0,21.0,0.0,2.5,3.2,3.8,3.5,0.0,0.0,0.0,0.0,142.0,25.0,15.37777777777778,17.0,3.3333333333333335,3.25,0.0
47,"MINH N. HO, M.D., F.A.C.O.G.",SAN DIEGO,2000.0,11.0,10,13,0,45.45454545454545,20.0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1,1,1,5.0,11.0,17.0,0.0,4.0,4.0,2.0,3.0,3.0,3.3,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,22.132867132867133,25.0,2.325,0.0
48,SAN DIEGO FERTILITY CENTER,SAN DIEGO    ,2000.0,61.0,56,47,19,32.8,26.8,14.9,5.2631578947368425,0.0,7.1,10.6,15.789473684210526,16.666666666666668,28.571428571428573,20.0,0.0,12.0,7,5,0,10.0,3.0,11.0,3.0,2.0,14.0,1.0,3.1,3.5,3.6,3.7,0.0,0.0,0.0,0.0,183.0,24.0,8.37236842105263,19.940789473684212,16.30952380952381,3.4749999999999996,0.0
49,ASTARTE FERTILITY CENTER,SAN FRANCISCO,2000.0,48.0,30,30,23,33.3,33.3,20.0,17.4,18.8,13.3,16.7,26.1,100.0,0.0,0.0,100.0,2.0,1,3,1,9.0,1.0,10.0,6.0,1.0,18.0,6.0,2.7,2.9,3.1,3.9,0.0,0.0,0.0,0.0,131.0,7.0,18.725,26.0,50.0,3.15,0.0
50,FERTILITY ASSOCIATES OF THE BAY AREA,SAN FRANCISCO,2000.0,30.0,17,24,7,36.7,29.41176470588235,25.0,14.285714285714286,0.0,11.764705882352942,0.0,14.285714285714286,0.0,0.0,0.0,0.0,3.0,1,1,0,4.0,1.0,16.0,1.0,1.0,9.0,7.0,3.0,2.9,3.5,2.2,0.0,0.0,0.0,0.0,78.0,5.0,6.512605042016807,26.34936974789916,0.0,2.9000000000000004,0.0
51,"SIMON R. HENDERSON, M.D.",SAN FRANCISCO,2000.0,16.0,17,17,8,12.5,0.0,17.647058823529413,0.0,31.25,35.294117647058826,29.41176470588235,12.5,0.0,0.0,0.0,0.0,2.0,2,3,0,3.0,14.0,25.0,2.0,12.0,15.0,4.0,3.8,5.5,5.1,11.0,0.0,0.0,0.0,0.0,58.0,7.0,27.113970588235293,7.536764705882353,0.0,6.35,0.0
52,SAN FRANCISCO FERTILITY CENTERS,SAN FRANCISCO    ,2000.0,225.0,165,195,98,28.9,24.2,18.5,4.1,10.2,10.3,14.4,15.3,37.7,27.5,23.5,14.285714285714286,77.0,51,34,14,12.0,5.0,21.0,4.0,3.0,19.0,6.0,3.0,3.5,3.9,4.4,0.0,0.0,0.0,0.0,683.0,176.0,12.55,18.924999999999997,25.746428571428574,3.7,0.0
53,UNIVERSITY OF CALIFORNIA--SAN FRANCISCO,SAN FRANCISCO,2000.0,63.0,44,34,14,19.0,15.9,14.7,0.0,12.7,18.2,20.6,21.428571428571427,22.7,10.526315789473685,11.11111111111111,0.0,44.0,19,9,2,5.0,2.0,8.0,1.0,2.0,19.0,4.0,2.8,3.2,3.6,4.5,0.0,0.0,0.0,0.0,155.0,74.0,18.232142857142858,12.399999999999999,11.0843567251462,3.525,0.0
54,"CARMELO S. SGARLATA, M.D.",SAN JOSE,2000.0,25.0,19,8,7,16.0,21.05263157894737,0.0,28.571428571428573,8.0,5.2631578947368425,50.0,14.285714285714286,0.0,0.0,0.0,0.0,2.0,4,1,0,10.0,3.0,0.0,6.0,0.0,16.0,0.0,3.2,3.6,2.7,4.3,0.0,0.0,0.0,0.0,59.0,7.0,19.387218045112782,16.406015037593985,0.0,3.45,0.0
55,FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,SAN JOSE,2000.0,169.0,119,108,28,24.3,21.0,13.0,3.6,11.2,23.5,27.8,25.0,0.0,0.0,0.0,0.0,13.0,6,6,3,10.0,4.0,8.0,4.0,1.0,20.0,6.0,3.1,3.4,3.6,4.6,0.0,0.0,0.0,0.0,424.0,28.0,21.875,15.475,0.0,3.675,0.0
56,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON    ,2000.0,202.0,139,109,34,37.6,37.4,17.4,11.8,5.0,11.5,22.0,20.6,8.3,19.2,10.0,0.0,24.0,26,10,3,13.0,3.0,24.0,5.0,1.0,20.0,2.0,2.6,3.0,3.7,4.2,0.0,0.0,0.0,0.0,484.0,63.0,14.775,26.05,9.375,3.375,0.0
57,CENTER FOR ASSISTED REPRODUCTIVE MEDICINE/CFP,SANTA MONICA ,2000.0,70.0,84,87,69,40.0,22.6,20.7,8.7,8.6,13.1,29.9,37.7,32.3,22.7,0.0,16.666666666666668,31.0,22,14,12,8.0,3.0,11.0,6.0,2.0,23.0,9.0,3.5,3.6,3.8,4.2,0.0,0.0,0.0,0.0,310.0,79.0,22.325,23.0,17.916666666666668,3.7749999999999995,0.0
58,PARKER--ROSENMAN--RODI GYN & INFERTILITY MEDICAL GROUP,SANTA MONICA ,2000.0,16.0,15,27,9,25.0,40.0,14.8,11.11111111111111,18.75,26.666666666666668,14.8,33.333333333333336,66.66666666666667,50.0,0.0,100.0,3.0,2,1,1,10.0,7.0,17.0,10.0,1.0,14.0,3.0,3.0,4.0,3.6,5.2,0.0,0.0,0.0,0.0,67.0,7.0,23.387500000000003,22.727777777777778,54.16666666666667,3.95,0.0
59,"ISSA M. SHAMONKI, M.D., FERTILITY CLINIC",SANTA MONICA ,2000.0,10.0,2,5,0,60.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0,0,0,3.0,4.0,11.0,0.0,0.0,3.0,0.0,3.7,3.5,4.6,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,55.0,25.0,2.95,0.0
