,Unnamed: 0,Clinic_name,Ratings,Reviews,Num_Rating
10,10,Columbia University Fertility,5 star rating,"The Columbia Fertility Center has been amazing! I started seeing them less than a year ago for IVF and they have been very helpful every step of the way. I was specifically a patient of Dr. Forman and his bedside manner is exceptional. I frequently emailed him serious and silly questions and he always answered quickly. In addition he makes it very clear that he cares about your overall health. Even on days he wasn't scheduled to perform certain procedures, he made it a point to be there anyway for his patients. During the monitoring phases of IVF you may not always see your doctor but that never made me feel uncomfortable because they were all warm and supportive of your concerns.  A lot of women use this center for their fertility and it's incredible how the office is able to manage it. I have never sat in the waiting room for a long time, even when it is busy. They are great!",5
11,11,Columbia University Fertility,5 star rating,"My husband and I had the good fortune of being connected to Dr Forman during our journey through conception. From the day we met with Dr Eric Forman it was all positive and promising. We have never met with a more attentive, caring, compassionate and empathic doctor and facility. Columbia university fertility center has the most inviting caregivers. We are blessed to be associated with them and Dr Forman. Both my husband and I have been very demanding in our attention from the doctor and his team and we got nothing short of it. Instead, they have given us more than promised at every appointment with respect to their time and answers to every question that we had. The best team to go to if you're looking for the right doctor for IVF. Can't thank you all enough.",5
12,12,Columbia University Fertility,5 star rating,I had a great experience with Columbia Fertility and would highly recommend to anyone. Dr. Rackow and my care team (nurse and care coordinator) were such a pleasure to work with and extremely thorough and informative. I felt like I was in great hands throughout my entire experience. The people at the front desk were always so friendly and helpful.,5
13,13,Columbia University Fertility,5 star rating,"Dr. McConnell was amazing. She was extremely patient with me, answering (in detail) any and numerous questions that crossed my mind. She is passionate about her work, she is rewarded internally when she experiences her patients become moms-to-be.My husband and I are extremely joyful that we had the experience to work with Dr. McConnell, as our fertility specialist. She paid close attention to my body through bloodwork, which directed her to give me an IVF treatment that was catered for my body. The IVF treatment plan worked. Currently we are expecting a healthy baby!!!!!!",5
14,14,Columbia University Fertility,5 star rating,"Dr. Forman and the team at Columbia are among the very best out there. Dr. Forman is the most responsive, accessible doctor I have ever worked with: he always answered emails within the day, sometimes within minutes, and he was willing to have lengthy phone conversations with me to go over any and every question I had. He is extremely knowledgeable and willing to share as much granular information as you need; I always felt I could question the particular reasoning behind a decision to understand it better but also trust his expertise. Dr. Forman always treated me as an individual, as he adjusted my protocols over the course of treatment to get better and better outcomes. While he seems a bit quiet and not super warm/fuzzy at first, he clearly cares about his patients--who else calls the evening before a retrieval to check if you have any last questions and wish you luck??--and goes above and beyond to help. The office also runs smoothly. I never had to wait more than ten minutes for morning monitoring--very important when you're squeezing these many appointments into the early hours before work! IVF is such a stressful experience, and you want to work with experts who will make it as manageable as possible. Can't recommend Dr. Forman highly enough.",5
15,15,Columbia University Fertility,5 star rating,"I cannot say enough good things about my experience with Dr. Forman and the team at Columbia's fertility center. I write this as my two week old naps. We began our journey nervous and very unsure of what to expect. Dr. Forman is everything you could want and more in a doctor. He was professional and informative but also explained everything in language that we could understand. He was positive and reassuring and was ALWAYS available to answer any and all questions. I felt bad emailing him on the weekends because I knew that he would answer within hours and I did not want to take him away from his family. Dr. Forman checked in with the office and emailed me while on his vacation to tell me that my blood test results were positive and that the IVF round was successful. This communication is above and beyond and the whole team at Columbia never made me feel like there was a silly or stupid question. Being a teacher, the monitoring hours worked for me and they were able to accommodate me by giving me one of the first appointments. There were some days that I waited longer than usual to be seen but it did not happen often. While there are many women that go through their offices every day, every doctor and nurse cares about the individual patient. Over the course of my journey, I got to know the staff so well that I felt sad leaving to my regular obgyn. I continued my pregnancy with Columbia doctors and continued to have a great experience. I have recommended Columbia fertility to many people and we are eternally grateful for everything they have done for us.",5
16,16,Columbia University Fertility,5 star rating,"Dr. Rachel McConnell is an outstanding physician. She gives you hope and leaves you feeling confident in her capable and caring hands. We have our family thanks to her!! The new Westchester location is beautiful, state of the art, and conveniently located. And the staff are equally as caring and helpful. We are forever grateful for their help in growing our family!",5
17,17,Columbia University Fertility,5 star rating,"We came to Columbia after reading the positive reviews on Fertility IQ, particularly for Dr. Forman. The reviews have proven to be spot on. Dr. Forman is caring and highly communicative (no other doctor has ever emailed me to keep me informed at each stage), and really takes all the delicate factors (labs, insurance, age, etc.) of a patient's unique profile into consideration. The Columbia team as a whole has been wonderful - from the front desk, to the nurses, to the staff who coordinate medications, everyone has been professional and sensitive, and things have moved along seamlessly. Infertility is physically and emotionally draining, but my husband and I have been able to relax somewhat knowing that they have everything under control here.",5
18,18,Columbia University Fertility,5 star rating,"I cannot say enough great things about this practice. I had a wonderful experience at Columbia Fertility from consultation to conception. As a high risk patient, I was very nervous about finding the right doctor who understood my condition and I had the extremely good fortune of being connected with Dr. Brady who could not have been more caring and thorough. She is *extremely* knowledgeable, answered all of my questions, and has a very comforting bedside manner which is so important. Me and my husband both felt confident that we were in the best hands possible. The office staff, nurses, care coordinators -- they are all so kind and attentive (and the office itself is very relaxing + clean.)",5
19,19,Columbia University Fertility,5 star rating,"Loved all the staff at Columbia University Fertility. They were very helpful and compassionate. From the very first step of receiving information to the end of my process, Dr. Brady along with her team, Sherry and Varda, truly made me feel very comfortable and made the journey much easier.",5
20,20,Columbia University Fertility,5 star rating,"I am extremely happy with this center.  The staff are always courteous and Dr. Paula Brady is amazing.  She has an excellent bedside manner and takes time to explain everything with her patients.  I went for a routine visit and had a general question and she went through the history of my chart to respond in a way that was suited for my individual program.  She really seems to care about her patients and makes sure to go beyond to make sure you are comfortable throughout the entire process.  I have been to 3 different centers and this is by far the most thorough, most courteous, caring and treats each patient as though you are their only patient.",5
21,21,Columbia University Fertility,1 star rating,"They have attempted to re-brand themselves with a new office and new Yelp page, but this is the same old crappy CWRC with a new name. After leaving this agency, I went to New Hope Fertility Center and I'm finally pregnant. I went to Columbia in July 2018, paid over $13K up front for a cycle that ended up not working, and fast forward to Dec 2018/Jan 2019 and I'm still receiving bills from them! It seems like Columbia is trying to double dip! They collected my money up front, and then tried to bill my insurance too. On top of  trying to charge me for monitoring services that I previously paid for before the start of the cycle, they are trying to charge me $1200 for frozen embryos that aren't even normal. Just got off the phone with their billing person and he couldn't even explain why I was receiving bills and told me to call the fixer or customer service person at Columbia. Of course, no one answered the phone upon me calling.p.s. I don't blame Columbia for my cycle not working. Maybe it just wasn't my month. But, I do blame them for not having their billing situation together. I don't need any stress in my life during this pregnancy. Yet, every time I see a false bill from them my stress level goes up. It's really not acceptable.",1
22,22,Columbia University Fertility,5 star rating,I went to this office for the first time mainly due to seeing Jen the pheblemist in the elevator. She expressed to me come up to the penthouse and check it out. I am so happy thus far I did. Also the front desk is so professional and resourceful.Jessica and Edelith was very polite and sensitive towards me knowing the reason why I am coming to see the doctor. Words cannot express my gratitude to Jen.....,5
23,23,Columbia University Fertility,5 star rating,"Dr Forman was one of the best doctors I've every encountered in my life. Incredibly knowledgeable, attentive and warm.",5
24,24,Columbia University Fertility,5 star rating,"I've been a patient here for about a year and can't say enough good things. Dr Forman is the best Doctor.  He's pragmatic, kind,compassionate, so responsive, and super on top of everything. Every person that works here is truly wonderful. The people at the reception desk are amazing. The wait is minimal if at all. They really try to get you in and out as easily as possible. Jenny who takes your blood is so kind and skilled and such a pleasure. The nurses are great. I will be forever grateful to all of these people for everything they've done for me.",5
25,25,Columbia University Fertility,5 star rating,"I would like to recommend Dr. Rogerio Lobo as he is one of the most polite and patient doctor that I have come across. He is also very knowledgeable and would not simply just recommend any invasive procedures. He listens very well to his patient's needs and provide sound advice. I just had my baby girl and if it wasn't for his advice and care, I would not have gone thru some of the challenges and have our beautiful daughter. Thank you Dr. Lobo!",5
26,26,Columbia University Fertility,5 star rating,"Dr. Forman listened to my concerns and is very good with first time IVF patients. Nothing was too small for his attention and he's always doing his best for you. He consistently went above and beyond for me the entire time I was in his care. A perfect example of this was when I had expressed how much I wanted him to perform the actual IVF procedure rather than another doctor from the clinic. The day of the procedure, it wasn't guaranteed that he could make it but he rushed to the clinic and made it happen. I actually teared up when I saw him. These things mean the world to women who have no control over their bad fortune.He and his team understood that these things mattered and what a difference it makes when your concerns are taken seriously. Even the front desk and nurses who draw blood exhibited the same standard of care. Peri, the Egg Donor Program Coordinator, is especially great. She was incredibly helpful and reliable.I can't recommend Columbia University Fertility Center enough.",5
27,27,Columbia University Fertility,5 star rating,"Dr. Williams is the most amazing Dr. He is kind, caring and compassionate. I would highly recommend him and his practice.Everybody is very kind and caring. They are very attentive and available when you need them.He takes his time getting to know you and your needs.",5
28,28,Columbia University Fertility,5 star rating,"We have partnered with Dr Rachel McConnell and so beyond happy with her. She was so patient and  answered all of our questions in detail and thoughtfully always. She paid attention to my bloodwork and scans and was spot on and made sure my protocol fit me. After less than a yr with her we are finally pregnant and graduated from the facility. It was bittersweet and felt strange as we have bonded and felt at home with everyone. Her staff In Scarsdale and the city were just the best. They always made sure they called/emailed me with any information and results and were very sympathetic. I mean from Antoinette from billing to Katrina and Nicole were just always on point. I never felt like just the ""next"" patient but truly like they cared. The morning monitoring was always so prompt in both offices as well. They truly made the experience better as tough as this is experience is. I could go on and on but honestly Dr McConnell was simply the best and so knowledgeable especially with any ideas I brought to her attention. Thank you and I hope to see everyone with my double rainbow baby. Fingers crossed!",5
29,29,Columbia University Fertility,5 star rating,"I live in New Hampshire and feel so incredibly grateful to have been referred to the Columbia University Fertility Center and Dr. Williams. The care that I received from Dr. Williams and his team was unlike any other. They were caring, kind, brilliant, and progressive. Dr. Williams made himself available to me during all hours of the day and expressed the most sincere, intent care. I rarely find a doctor who I feel is just as invested in my case as I am, and Dr. Williams and the group exceeded all of my expectations. From the front desk staff, to the billing team, to the clinical team, we were blown away. Thank you all for all that you have done for our family!  We are truly, truly grateful!",5
30,30,Columbia University Fertility,1 star rating,"OMG this practice thinks they can get away from all their horrible reviews because they rebranded themselves and got a nice lil makeover but this place is still as crappy as it was before. The doctors suck - they don't give a shit and never return your calls. The billing system is terrible - still receiving bills from 2013. This place sucks. Save yourself the aggravation, frustration and heartbreak.",1
31,31,Columbia University Fertility,5 star rating,"My husband and I had been trying to conceive for about a little over 2 years. Unsure of where to begin or how to start this daunting process, we decided to meet with a Dr. at Columbia and essentially took a leap of faith. I ended up doing two (failed) cycles of IUI last year with the Doctor we had first met with at Columbia. After more research, we decided to switch to Dr. Eric Forman for our first (and successful!!) IVF cycle and SO happy we did. He was truly understanding and personable, had amazing communication and response time - no question too inconsequential or too complicated to re-explain and is SUPER informative. All of these qualities separated him from the other doctors in my mind and gave me constant reassurance and confidence that we had chosen the right doctor, staff and facility. I could not recommend Dr. Forman enough!",5
32,32,Columbia University Fertility,5 star rating,"Saw Dr. Forman a few weeks back and very happy with my experience. I previously saw another Dr in Brooklyn, but my experience at Columbia Fertility Clinic was like night and day. Dr. Forman was very thorough and had a great bedside manner. Completely trust his opinions and have switched to him as a result. So happy I was recommended here!!",5
33,33,Columbia University Fertility,5 star rating,"Our whole experience in the center was wonderful! Dr. Forman was so fantastic! Dr. Forman assisted us through every step of this scary and exciting process. He is kind, detailed and always available. He always responded to any question or concern I had within a hour or less even when he was on vacation. All he doctors in the practice we encountered were just the same. His nurse Tiffany is the sweetest and most kind and loving person. She really taker her time to make you feel safe and taken care of. All the nurses in the center who assisted us and did our Lab work (on what felt almost daily) were so professional and kind. Lastly, the front desk team and Tara, always helpful, friendly and attentive. I can't say enough wonderful things of this entire practice! I am so happy we chose Columbia University Fertility! We are so blessed that all went perfectly and we are expecting a baby, May 1st! THANK YOU to the fantastic team or caring professionals!",5
34,34,Columbia University Fertility,5 star rating,"I am so glad that I chose to use Columbia when my husband and I struggled to conceive. Dr. McConnell is brilliant and also kind and comforting throughout what can be a very anxiety-producing process. She is patient with me and answers all of my questions, and I never feel rushed. I mainly see her in the Westchester office, but I have been to the new Manhattan location as well and it's amazing!! I had an appointment with Dr. Forman once when Dr. McConnell was out of the office and he seemed great as well. The process of scheduling appointments is seamless, and I adore all of the nurses, secretaries, and phlebotomists I have interacted with.",5
35,35,Columbia University Fertility,5 star rating,"This place is wonderful! My husband and I received incredibly personalized care from every member of the team. Dr. Forman was so supportive, responsive, caring, and knowledgeable! He was there for us every step of the way and took the time to explain the process. He truly wants to be there for his patients and always answered my questions over email without delay! I was blown away by the amazing level of care - especially after my husband and I had a negative experience with another fertility clinic. So grateful for their entire team!",5
36,36,Columbia University Fertility,5 star rating,"Let me start off by saying that I'm writing this as my 5 week old son is napping in the other room... After seeing many fertility specialists on Long Island and in the city we found Dr Eric Forman. We were only given a 20% chance of successfully conceiving. Dr Forman was compassionate, informative, and supportive. He explained highly complex and technical procedures in plain english. There was not one phone call - during or after hours - which was not returned to us outside of 20 min. We undertook one round of IVF with Dr Forman and were successful - he helped us beat the odds. I can not recommend Dr Forman and the entire team - doctors, nurses, techs, etc - highly enough.",5
37,37,Columbia University Fertility,1 star rating,Had bad experience that lead to emergent surgery as opposed to semi-urgent surgery if diagnosed earlier. Would highly recommend staying away from Columbia .,1
38,38,New Hope Fertility Center,5 star rating,"After 7 years of going to my OBGYN feeling broken and helpless, being diagnosed with PCOS doing the timed intercourse, being given Clomid and Metformin, using OPKs, getting an HSG and being told that it would happen if I gave it time saying they could not physically ever find anything wrong with me I was finally referred to New Hope Fertility center. When I first got to New hope I was impressed by the facility. It was clean and the staff was friendly. The most impressive thing was how thorough they were. It never took over 45 minutes for me to be seen. They sat down with me and my husband and spoke to us about what we've done and what we should do. We got genetic testing done, blood work and another semen analysis for my husband, I got follicle monitoring done every week and bloodwork to check my levels and was told they wanted to begin with The IUI procedure 3 times before I went into IVF. They discussed the cost before even doing any work. The phlebotomist, the nurses and Dr. Makarov were always incredible, and very informative. I never left not knowing what was happening. The IUI procedure was painless and they attempted two rounds per IUI. After the first failed IUI I was broken. I went back and New hope lifted my spirits. They let me know that we would be trying again next cycle. Then comes COVID-19. I thought it was all over but the clinic stays open and checks our temperature at the door, has a nurse pumping hand sanitizer into our hands, the whole staff began wearing face masks and shields, the seats are separated for social distancing. Needless to say I felt safe. I also got pregnant that round. I'm currently 10 weeks and have just graduated and will now be seeing a OBGYN and am pretty sad. I wish that I could stay here throughout my whole pregnancy. The only thing I that kind of broke my heart was the fact that my health insurance duped me and I'll have to pay all my expenses out of pocket. New Hope gave me the one thing I personally couldn't give myself so it's well worth it and a small problem to have. Thank you everyone at New Hope!! You're angels and I'll always appreciate you all. Dr. Makarov, Katherine, Daisy, Oksana, Joanna, Wei, Katie and sooo many more.",5
39,39,New Hope Fertility Center,5 star rating,"So thankful that I made it to NHFC. After 5 IUIs at Weill Cornell, 3 IVF cycles at RMA NY (horrible horrible!) and then finally 2 rounds at NHFC, we are blessed with a beautiful baby girl. Thanks to the lovely Dr. Liu, who took the time to create a personalised stims and implantation plan according to my previous medical history and body cycle. He was always kind, patient and positive, calling me each time he changed the medicine dosage to explain why or when the process did not go according to plan. We used a surrogate and Tiffany, like Dr. Liu, was a sincere cheerleader. I felt taken care of, unlike with other practitioners who saw me with a dollar sign in their eyes and that I was just another battery farm hen. I am so grateful to Dr. Liu and his team for giving me the best gift of motherhood. Please don't give up other prospective parents, it is not a matter of whether or not it will happen, it is WHEN it will happen. Do give NHFC a try. PS. The aquarium in the waiting area is so soothing!",5
40,40,New Hope Fertility Center,5 star rating,"All I can tell any woman who is seeking the finest fertility care in NYC to only go here. Every nurse, my wonderful and amazing Dr., Dr. Makarov, make you feel that becoming a parent is not only possible but can be done treating your body in the best care possible. They understand how fragile and delicate this process is and take extreme care of you from beginning to end. From the first day we arrived at the center, my husband and I KNEW we made the best choice possible. They are so upfront and honest with you about each step and this includes billing. It's your responsibility to inquire about the costs of things and to check your insurance to know what is your responsibility; not New Hope's. They go out of their way to make sure you are clear on things and leave no room for doubt, question or confusion. Did I mention how kind everyone here is?!? It's somewhat surreal. I read some of the reviews of others who gave them a 1 Star review and I'm like how?! Why?! Nothing is perfect, but New Hope is perfect for me. My egg retrieval took place today at 8:30a.m.; the same day NYC officially re-opened and I think it's quite cool to tell my future kids about the day they were conceived. The procedure was pain free thanks to a wonderful  anesthesiologist and the pain afterwards was tolerable. If you want to have an IVF experience that is not conventional but customized to your body only; this is your place. New Hope Fertility was my answered prayer to starting my family and I'm grateful to be on this journey with such an phenomenal place. Also, I'm 39 & went through the Mini-IVF treatment which no one else in the city is capable of providing you with such a treatment besides the experts at New Hope Fertility.",5
41,41,New Hope Fertility Center,5 star rating,"I went to NHFC because after doing some research on doctors in Manhattan, I decided to go with Dr. Jennifer Makarov. I liked the center's philosophy on trying to get quality ovums and blastocysts over quantity to better your chances. I started to get worried about getting pregnant as it was determined I needed several hysteroscopies before being able to implant. But it turns out that I got pregnant on the first try! The staff, including all the nurses, are very nice and accommodating, and the office hours are such that you can come in at various hours making it convenient if you work long hours like I do.My only issue with the place would be that the billing department doles out information in a confusing manner sometimes...But I am giving 5 stars because the most important thing here is getting pregnant, and they helped me have a baby.",5
42,42,New Hope Fertility Center,1 star rating,I am reposting my review with more clarity.  If you freeze your eggs at New Hope Fertility and then want to go to another facility- your eggs will not be accepted.   This is so important for women to know.  Reputable centers will not take the eggs !  Please see attached email photos.  This whole experience is turning into a nightmare. I was seen by Dr Merhi and would not recommend him.   New hope fertility is disorganized- which is the last thing you would want while going thru fertility treatment. I am a doctor and fully understand how a clinic should be run.  Your staff to your billing department are key to your success.  Answering patient phone calls.  Keeping accurate records of payment- these are all important. They do not care. You are just another number and more money.   Please see the discourse I had with the billing manager.  I did not get a response and had to email to get a resp,1
43,43,New Hope Fertility Center,5 star rating,"Wanted to write this review as I sit in the hospital in recovery. I am not only an employee for the last 6 years but also a patient at New Hope Fertility and I wanted to share my story. Not only can I relate but I can sympathize with everyone who is also a patient at New Hope Fertility Center. Yesterday I gave birth to my miracle baby. A baby I thought I would never be able to carry or hold myself. Just early this year me and my husband were discussing adoption or fostering a child/baby. I was just so tired of the constant disappointment and the multiple losses I had suffered in the last 10 years. With Multiple attempts of ivf, surrogacy and my own transfers I was just so tired and unhappy. My husband convinced me to try one last time after we sat in a hot tub with a few drinks in our system during a trip to Dominican Republic in May 2019 I just laughed and I said okay just one last time hun after this we have to move forward with other options even if it meant I would never carry our own child. So that's what I did transferred two embryos in June and here we are with a beautiful healthy baby girl. She's breathing and eating on here own at 5 lbs 15oz and 20 inches long and have her grand entrance at 35 weeks. Just want to thank Dr. Liu from new hope fertility who has helped me through this ivf process the last two years. He is amazing, patient, supportive, compassionate and took such great care of me. We are extremely grateful he has helped bless us with a blessing we thought was never possible. All the staff at New Hope was extremely helpful and efficient throughout my process and I do not only say that because I am an employee I say it as a patient. This process in itself can be extremely stressful and draining so a big thanks to everyone involved for making it easier for me even while working and shedding my tears. Just know as a employee and patient at new hope fertility center I can relate and sympathize with you all!",5
44,44,New Hope Fertility Center,1 star rating,"I went there for an embryo transfer I was planning to have in the coming month. I ended up doing two rounds of IVF because I had a very pushy and convincing nurse and doctor telling me my hormones level were good and I should try this month because I was ovulated. I took this decision because oneI was also told that my insurance was covering IVF so why not and I could have a fresh embryo without taking any medication. Long story short I ovulated to early and they couldn't retrieve any eggs, so I went for another round. The next thing I know I was on different type of hormones and was pushed to accept a genetic testing that cost 750 and was not covered by the insurance. What I did not know is that the cryopreservation was not covered either and costs 1250! I was never mentioned 1) the cryopreservation 2) the cost or even the eventuality it won't be covered. Before the procedure I have asked the billing department of everything was ok and if they received the pre authorization. She said not yet but everything should be covered except the testing. They received the pre authorization 6 days after and the cryopreservation WAS NOT covered and I have know to pay out of pocket. I tried to reach out to the billing department several times but are not addressing my questions nor want to acknowledge the fact that they should have notified me about the eventuality of a cost.I was against the genetic testing and was pushed  to do it. Now that I am thinking about this horrible pushy experience where the doctors wants to make money more than you having a child, I am sure it was done on purpose. I am now  in another fertility clinic in Oradell and it is night and day!!! Also after doing research on New Hope, the way they are handling their business is definitely borderline. In any case I wouldn't recognize this clinic at all and if you have experience similar issues please reach out to me. I would love to investigate further.",1
